"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2016/12/21","00:00","3.731","-","3.77"
"2016/12/21","01:00","3.416","-","3.34"
"2016/12/21","02:00","2.854","-","2.85"
"2016/12/21","03:00","2.168","-","2.16"
"2016/12/21","04:00","1.514","-","1.54"
"2016/12/21","05:00","1.047","-","1.04"
"2016/12/21","06:00","0.885","-","0.95"
"2016/12/21","07:00","1.087","-","1.21"
"2016/12/21","08:00","1.636","-","1.82"
"2016/12/21","09:00","2.439","-","2.6"
"2016/12/21","10:00","3.34","-","3.56"
"2016/12/21","11:00","4.155","-","4.41"
"2016/12/21","12:00","4.717","-","4.95"
"2016/12/21","13:00","4.917","-","5.17"
"2016/12/21","14:00","4.734","-","4.85"
"2016/12/21","15:00","4.235","-","4.55"
"2016/12/21","16:00","3.55","-","3.88"
"2016/12/21","17:00","2.842","-","3.12"
"2016/12/21","18:00","2.265","-","2.66"
"2016/12/21","19:00","1.935","-","2.33"
"2016/12/21","20:00","1.902","-","2.24"
"2016/12/21","21:00","2.142","-","2.47"
"2016/12/21","22:00","2.556","-","2.81"
"2016/12/21","23:00","3.002","-","3.37"
"2016/12/22","00:00","3.33","-","3.63"
"2016/12/22","01:00","3.431","-","3.76"
"2016/12/22","02:00","3.264","-","3.64"
"2016/12/22","03:00","2.865","-","3.21"
"2016/12/22","04:00","2.338","-","2.53"
"2016/12/22","05:00","1.819","-","2.04"
"2016/12/22","06:00","1.452","-","1.64"
"2016/12/22","07:00","1.352","-","1.57"
"2016/12/22","08:00","1.58","-","1.75"
"2016/12/22","09:00","2.126","-","2.45"
"2016/12/22","10:00","2.901","-","3.24"
"2016/12/22","11:00","3.751","-","4.15"
"2016/12/22","12:00","4.492","-","4.87"
"2016/12/22","13:00","4.962","-","5.33"
"2016/12/22","14:00","5.057","-","5.34"
"2016/12/22","15:00","4.761","-","5.09"
"2016/12/22","16:00","4.145","-","4.51"
"2016/12/22","17:00","3.344","-","3.56"
"2016/12/22","18:00","2.529","-","2.9"
"2016/12/22","19:00","1.864","-","2.26"
"2016/12/22","20:00","1.476","-","1.93"
"2016/12/22","21:00","1.424","-","1.75"
"2016/12/22","22:00","1.682","-","1.91"
"2016/12/22","23:00","2.149","-","2.34"
"2016/12/23","00:00","2.672","-","2.98"
"2016/12/23","01:00","3.096","-","3.32"
"2016/12/23","02:00","3.304","-","3.46"
"2016/12/23","03:00","3.248","-","3.49"
"2016/12/23","04:00","2.958","-","3.13"
"2016/12/23","05:00","2.53","-","2.73"
"2016/12/23","06:00","2.097","-","2.3"
"2016/12/23","07:00","1.8","-","1.96"
"2016/12/23","08:00","1.758","-","1.97"
"2016/12/23","09:00","2.03","-","2.41"
"2016/12/23","10:00","2.601","-","3"
"2016/12/23","11:00","3.372","-","3.69"
"2016/12/23","12:00","4.179","-","4.49"
"2016/12/23","13:00","4.839","-","5.32"
"2016/12/23","14:00","5.192","-","5.76"
"2016/12/23","15:00","5.143","-","5.68"
"2016/12/23","16:00","4.69","-","5.18"
"2016/12/23","17:00","3.919","-","4.42"
"2016/12/23","18:00","2.985","-","3.44"
"2016/12/23","19:00","2.074","-","2.74"
"2016/12/23","20:00","1.366","-","1.98"
"2016/12/23","21:00","0.989","-","1.61"
"2016/12/23","22:00","0.996","-","1.55"
"2016/12/23","23:00","1.343","-","1.93"
"2016/12/24","00:00","1.911","-","2.47"
"2016/12/24","01:00","2.533","-","3.14"
"2016/12/24","02:00","3.044","-","3.54"
"2016/12/24","03:00","3.323","-","3.9"
"2016/12/24","04:00","3.324","-","3.77"
"2016/12/24","05:00","3.08","-","3.54"
"2016/12/24","06:00","2.695","-","3.23"
"2016/12/24","07:00","2.312","-","2.81"
