"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2001/12/23","00:00","3.463","-","3.19"
"2001/12/23","01:00","3.279","-","2.97"
"2001/12/23","02:00","2.884","-","2.58"
"2001/12/23","03:00","2.347","-","2.07"
"2001/12/23","04:00","1.787","-","1.46"
"2001/12/23","05:00","1.338","-","0.91"
"2001/12/23","06:00","1.118","-","0.62"
"2001/12/23","07:00","1.197","-","0.74"
"2001/12/23","08:00","1.583","-","1.2"
"2001/12/23","09:00","2.218","-","1.86"
"2001/12/23","10:00","2.982","-","2.55"
"2001/12/23","11:00","3.725","-","3.33"
"2001/12/23","12:00","4.299","-","3.84"
"2001/12/23","13:00","4.595","-","4.26"
"2001/12/23","14:00","4.57","-","4.2"
"2001/12/23","15:00","4.255","-","3.93"
"2001/12/23","16:00","3.742","-","3.4"
"2001/12/23","17:00","3.158","-","2.73"
"2001/12/23","18:00","2.634","-","2.17"
"2001/12/23","19:00","2.275","-","1.89"
"2001/12/23","20:00","2.141","-","1.66"
"2001/12/23","21:00","2.234","-","1.82"
"2001/12/23","22:00","2.498","-","2.05"
"2001/12/23","23:00","2.832","-","2.46"
"2001/12/24","00:00","3.117","-","2.87"
"2001/12/24","01:00","3.247","-","2.94"
"2001/12/24","02:00","3.162","-","2.73"
"2001/12/24","03:00","2.864","-","2.47"
"2001/12/24","04:00","2.423","-","2.05"
"2001/12/24","05:00","1.956","-","1.51"
"2001/12/24","06:00","1.596","-","1.15"
"2001/12/24","07:00","1.462","-","0.99"
"2001/12/24","08:00","1.624","-","1.13"
"2001/12/24","09:00","2.085","-","1.66"
"2001/12/24","10:00","2.77","-","2.37"
"2001/12/24","11:00","3.547","-","3.12"
"2001/12/24","12:00","4.253","-","3.82"
"2001/12/24","13:00","4.736","-","4.35"
"2001/12/24","14:00","4.892","-","4.56"
"2001/12/24","15:00","4.692","-","4.45"
"2001/12/24","16:00","4.186","-","3.84"
"2001/12/24","17:00","3.484","-","3.18"
"2001/12/24","18:00","2.738","-","2.55"
"2001/12/24","19:00","2.098","-","1.82"
"2001/12/24","20:00","1.685","-","1.38"
"2001/12/24","21:00","1.563","-","1.14"
"2001/12/24","22:00","1.725","-","1.29"
"2001/12/24","23:00","2.094","-","1.72"
"2001/12/25","00:00","2.548","-","2.13"
"2001/12/25","01:00","2.948","-","2.6"
"2001/12/25","02:00","3.178","-","2.62"
"2001/12/25","03:00","3.173","-","2.6"
"2001/12/25","04:00","2.941","-","2.47"
"2001/12/25","05:00","2.556","-","2.16"
"2001/12/25","06:00","2.146","-","1.76"
"2001/12/25","07:00","1.855","-","1.41"
"2001/12/25","08:00","1.806","-","1.35"
"2001/12/25","09:00","2.064","-","1.63"
"2001/12/25","10:00","2.614","-","2.14"
"2001/12/25","11:00","3.361","-","3.02"
"2001/12/25","12:00","4.147","-","3.74"
"2001/12/25","13:00","4.796","-","4.42"
"2001/12/25","14:00","5.154","-","4.88"
"2001/12/25","15:00","5.127","-","4.86"
"2001/12/25","16:00","4.706","-","4.44"
"2001/12/25","17:00","3.969","-","3.59"
"2001/12/25","18:00","3.06","-","2.78"
"2001/12/25","19:00","2.16","-","1.96"
"2001/12/25","20:00","1.442","-","1.24"
"2001/12/25","21:00","1.036","-","0.81"
"2001/12/25","22:00","0.995","-","0.65"
"2001/12/25","23:00","1.289","-","0.97"
"2001/12/26","00:00","1.812","-","1.53"
"2001/12/26","01:00","2.412","-","2.18"
"2001/12/26","02:00","2.929","-","2.67"
"2001/12/26","03:00","3.239","-","2.95"
