"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"1997/01/07","00:00","-0.174","-","-0.71"
"1997/01/07","01:00","0.643","-","0.11"
"1997/01/07","02:00","1.676","-","1.09"
"1997/01/07","03:00","2.671","-","2.08"
"1997/01/07","04:00","3.408","-","2.88"
"1997/01/07","05:00","3.757","-","3.28"
"1997/01/07","06:00","3.701","-","3.24"
"1997/01/07","07:00","3.34","-","2.8"
"1997/01/07","08:00","2.854","-","2.43"
"1997/01/07","09:00","2.458","-","2.03"
"1997/01/07","10:00","2.338","-","1.88"
"1997/01/07","11:00","2.606","-","2.14"
"1997/01/07","12:00","3.262","-","2.84"
"1997/01/07","13:00","4.191","-","3.79"
"1997/01/07","14:00","5.183","-","4.8"
"1997/01/07","15:00","5.982","-","5.66"
"1997/01/07","16:00","6.353","-","6.02"
"1997/01/07","17:00","6.144","-","5.88"
"1997/01/07","18:00","5.331","-","5"
"1997/01/07","19:00","4.029","-","3.74"
"1997/01/07","20:00","2.466","-","2.1"
"1997/01/07","21:00","0.937","-","0.56"
"1997/01/07","22:00","-0.268","-","-0.62"
"1997/01/07","23:00","-0.926","-","-1.3"
"1997/01/08","00:00","-0.934","-","-1.34"
"1997/01/08","01:00","-0.332","-","-0.68"
"1997/01/08","02:00","0.702","-","0.36"
"1997/01/08","03:00","1.905","-","1.64"
"1997/01/08","04:00","2.99","-","2.55"
"1997/01/08","05:00","3.729","-","3.3"
"1997/01/08","06:00","4.004","-","3.65"
"1997/01/08","07:00","3.836","-","3.49"
"1997/01/08","08:00","3.365","-","3.03"
"1997/01/08","09:00","2.807","-","2.45"
"1997/01/08","10:00","2.396","-","2.11"
"1997/01/08","11:00","2.323","-","2.09"
"1997/01/08","12:00","2.686","-","2.41"
"1997/01/08","13:00","3.458","-","3.21"
"1997/01/08","14:00","4.486","-","4.28"
"1997/01/08","15:00","5.523","-","5.27"
"1997/01/08","16:00","6.287","-","6.03"
"1997/01/08","17:00","6.537","-","6.33"
"1997/01/08","18:00","6.141","-","5.93"
"1997/01/08","19:00","5.116","-","4.92"
"1997/01/08","20:00","3.623","-","3.36"
"1997/01/08","21:00","1.934","-","1.68"
"1997/01/08","22:00","0.368","-","0.24"
"1997/01/08","23:00","-0.777","-","-1.18"
"1997/01/09","00:00","-1.29","-","-1.63"
"1997/01/09","01:00","-1.096","-","-1.47"
"1997/01/09","02:00","-0.279","-","-0.62"
"1997/01/09","03:00","0.94","-","0.59"
"1997/01/09","04:00","2.255","-","1.92"
"1997/01/09","05:00","3.363","-","2.92"
"1997/01/09","06:00","4.041","-","3.64"
"1997/01/09","07:00","4.203","-","3.84"
"1997/01/09","08:00","3.907","-","3.59"
"1997/01/09","09:00","3.33","-","3.08"
"1997/01/09","10:00","2.714","-","2.36"
"1997/01/09","11:00","2.303","-","2.03"
"1997/01/09","12:00","2.282","-","2"
