"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2008/12/27","00:00","-0.601","-","-1.05"
"2008/12/27","01:00","-0.582","-","-1.01"
"2008/12/27","02:00","-0.072","-","-0.46"
"2008/12/27","03:00","0.788","-","0.22"
"2008/12/27","04:00","1.788","-","1.32"
"2008/12/27","05:00","2.71","-","2.26"
"2008/12/27","06:00","3.381","-","2.84"
"2008/12/27","07:00","3.719","-","3.13"
"2008/12/27","08:00","3.74","-","3.2"
"2008/12/27","09:00","3.549","-","3.1"
"2008/12/27","10:00","3.297","-","2.75"
"2008/12/27","11:00","3.142","-","2.56"
"2008/12/27","12:00","3.205","-","2.79"
"2008/12/27","13:00","3.539","-","3.01"
"2008/12/27","14:00","4.11","-","3.74"
"2008/12/27","15:00","4.796","-","4.5"
"2008/12/27","16:00","5.415","-","4.93"
"2008/12/27","17:00","5.77","-","5.31"
"2008/12/27","18:00","5.706","-","5.22"
"2008/12/27","19:00","5.159","-","4.65"
"2008/12/27","20:00","4.174","-","3.69"
"2008/12/27","21:00","2.902","-","2.45"
"2008/12/27","22:00","1.561","-","1.03"
"2008/12/27","23:00","0.391","-","-0.07"
"2008/12/28","00:00","-0.402","-","-0.91"
"2008/12/28","01:00","-0.684","-","-1.14"
"2008/12/28","02:00","-0.432","-","-0.91"
"2008/12/28","03:00","0.266","-","-0.29"
"2008/12/28","04:00","1.227","-","0.74"
"2008/12/28","05:00","2.229","-","1.71"
"2008/12/28","06:00","3.063","-","2.53"
"2008/12/28","07:00","3.592","-","3.03"
"2008/12/28","08:00","3.778","-","3.25"
"2008/12/28","09:00","3.68","-","3.03"
"2008/12/28","10:00","3.427","-","2.79"
"2008/12/28","11:00","3.182","-","2.61"
"2008/12/28","12:00","3.092","-","2.54"
"2008/12/28","13:00","3.255","-","2.73"
"2008/12/28","14:00","3.691","-","3.21"
"2008/12/28","15:00","4.322","-","3.92"
"2008/12/28","16:00","4.997","-","4.64"
"2008/12/28","17:00","5.519","-","5.11"
"2008/12/28","18:00","5.707","-","5.28"
"2008/12/28","19:00","5.443","-","4.93"
"2008/12/28","20:00","4.71","-","4.25"
"2008/12/28","21:00","3.6","-","3.08"
"2008/12/28","22:00","2.293","-","1.79"
"2008/12/28","23:00","1.017","-","0.55"
"2008/12/29","00:00","0.004","-","-0.36"
