"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2007/12/19","00:00","2.902","-","3.03"
"2007/12/19","01:00","3.224","-","3.32"
"2007/12/19","02:00","3.273","-","3.35"
"2007/12/19","03:00","3.046","-","3"
"2007/12/19","04:00","2.621","-","2.65"
"2007/12/19","05:00","2.136","-","2.1"
"2007/12/19","06:00","1.756","-","1.75"
"2007/12/19","07:00","1.631","-","1.6"
"2007/12/19","08:00","1.858","-","1.88"
"2007/12/19","09:00","2.449","-","2.44"
"2007/12/19","10:00","3.314","-","3.43"
"2007/12/19","11:00","4.283","-","4.31"
"2007/12/19","12:00","5.14","-","5.06"
"2007/12/19","13:00","5.683","-","5.52"
"2007/12/19","14:00","5.774","-","5.64"
"2007/12/19","15:00","5.375","-","5.18"
"2007/12/19","16:00","4.552","-","4.47"
"2007/12/19","17:00","3.459","-","3.34"
"2007/12/19","18:00","2.301","-","2.08"
"2007/12/19","19:00","1.294","-","1.2"
"2007/12/19","20:00","0.619","-","0.48"
"2007/12/19","21:00","0.38","-","0.32"
"2007/12/19","22:00","0.584","-","0.51"
"2007/12/19","23:00","1.135","-","0.99"
"2007/12/20","00:00","1.865","-","1.75"
"2007/12/20","01:00","2.576","-","2.39"
"2007/12/20","02:00","3.095","-","2.89"
"2007/12/20","03:00","3.318","-","2.98"
"2007/12/20","04:00","3.23","-","3.06"
"2007/12/20","05:00","2.908","-","2.83"
"2007/12/20","06:00","2.498","-","2.37"
"2007/12/20","07:00","2.178","-","2.08"
"2007/12/20","08:00","2.114","-","1.94"
"2007/12/20","09:00","2.407","-","2.41"
"2007/12/20","10:00","3.064","-","3.16"
"2007/12/20","11:00","3.982","-","4.05"
"2007/12/20","12:00","4.969","-","4.99"
"2007/12/20","13:00","5.791","-","5.8"
"2007/12/20","14:00","6.235","-","6.2"
"2007/12/20","15:00","6.161","-","6.07"
"2007/12/20","16:00","5.539","-","5.41"
"2007/12/20","17:00","4.457","-","4.42"
"2007/12/20","18:00","3.1","-","3.04"
"2007/12/20","19:00","1.711","-","1.63"
"2007/12/20","20:00","0.54","-","0.56"
"2007/12/20","21:00","-0.212","-","-0.2"
"2007/12/20","22:00","-0.432","-","-0.47"
"2007/12/20","23:00","-0.125","-","-0.17"
"2007/12/21","00:00","0.591","-","0.5"
"2007/12/21","01:00","1.517","-","1.45"
"2007/12/21","02:00","2.424","-","2.33"
"2007/12/21","03:00","3.113","-","2.95"
"2007/12/21","04:00","3.465","-","3.21"
"2007/12/21","05:00","3.461","-","3.15"
"2007/12/21","06:00","3.187","-","2.96"
"2007/12/21","07:00","2.809","-","2.6"
"2007/12/21","08:00","2.523","-","2.38"
"2007/12/21","09:00","2.504","-","2.35"
"2007/12/21","10:00","2.858","-","2.82"
"2007/12/21","11:00","3.577","-","3.51"
"2007/12/21","12:00","4.543","-","4.43"
"2007/12/21","13:00","5.543","-","5.43"
"2007/12/21","14:00","6.323","-","6.1"
"2007/12/21","15:00","6.661","-","6.37"
"2007/12/21","16:00","6.416","-","6.13"
"2007/12/21","17:00","5.575","-","5.15"
"2007/12/21","18:00","4.253","-","3.94"
"2007/12/21","19:00","2.672","-","2.38"
"2007/12/21","20:00","1.11","-","0.86"
"2007/12/21","21:00","-0.16","-","-0.37"
"2007/12/21","22:00","-0.921","-","-1.08"
"2007/12/21","23:00","-1.069","-","-1.37"
"2007/12/22","00:00","-0.624","-","-1.05"
"2007/12/22","01:00","0.266","-","-0.1"
"2007/12/22","02:00","1.373","-","1.03"
"2007/12/22","03:00","2.437","-","2.01"
"2007/12/22","04:00","3.24","-","2.78"
"2007/12/22","05:00","3.654","-","3.31"
"2007/12/22","06:00","3.672","-","3.17"
"2007/12/22","07:00","3.4","-","3.01"
"2007/12/22","08:00","3.022","-","2.55"
"2007/12/22","09:00","2.753","-","2.41"
"2007/12/22","10:00","2.773","-","2.46"
"2007/12/22","11:00","3.182","-","2.76"
"2007/12/22","12:00","3.959","-","3.59"
"2007/12/22","13:00","4.966","-","4.57"
"2007/12/22","14:00","5.967","-","5.44"
"2007/12/22","15:00","6.696","-","6.19"
"2007/12/22","16:00","6.92","-","6.42"
"2007/12/22","17:00","6.51","-","5.98"
"2007/12/22","18:00","5.473","-","4.95"
"2007/12/22","19:00","3.959","-","3.44"
"2007/12/22","20:00","2.222","-","1.81"
"2007/12/22","21:00","0.564","-","0.19"
"2007/12/22","22:00","-0.725","-","-1.17"
"2007/12/22","23:00","-1.433","-","-1.9"
"2007/12/23","00:00","-1.466","-","-1.97"
"2007/12/23","01:00","-0.871","-","-1.33"
"2007/12/23","02:00","0.179","-","-0.32"
"2007/12/23","03:00","1.423","-","0.89"
"2007/12/23","04:00","2.58","-","2.14"
"2007/12/23","05:00","3.423","-","2.89"
"2007/12/23","06:00","3.833","-","3.33"
"2007/12/23","07:00","3.822","-","3.34"
"2007/12/23","08:00","3.517","-","3.14"
"2007/12/23","09:00","3.125","-","2.72"
"2007/12/23","10:00","2.866","-","2.44"
"2007/12/23","11:00","2.922","-","2.49"
"2007/12/23","12:00","3.38","-","2.99"
"2007/12/23","13:00","4.206","-","3.83"
"2007/12/23","14:00","5.237","-","4.78"
"2007/12/23","15:00","6.222","-","5.74"
"2007/12/23","16:00","6.881","-","6.42"
"2007/12/23","17:00","6.986","-","6.55"
"2007/12/23","18:00","6.425","-","6.05"
"2007/12/23","19:00","5.236","-","4.85"
"2007/12/23","20:00","3.598","-","3.18"
"2007/12/23","21:00","1.79","-","1.36"
"2007/12/23","22:00","0.126","-","-0.31"
"2007/12/23","23:00","-1.107","-","-1.54"
"2007/12/24","00:00","-1.707","-","-2.11"
"2007/12/24","01:00","-1.6","-","-2.05"
"2007/12/24","02:00","-0.859","-","-1.36"
"2007/12/24","03:00","0.312","-","-0.13"
"2007/12/24","04:00","1.631","-","1.2"
"2007/12/24","05:00","2.807","-","2.32"
"2007/12/24","06:00","3.621","-","3.12"
"2007/12/24","07:00","3.972","-","3.54"
"2007/12/24","08:00","3.898","-","3.44"
"2007/12/24","09:00","3.548","-","3.12"
"2007/12/24","10:00","3.137","-","2.73"
"2007/12/24","11:00","2.89","-","2.52"
"2007/12/24","12:00","2.978","-","2.65"
"2007/12/24","13:00","3.476","-","3.15"
"2007/12/24","14:00","4.329","-","4.02"
"2007/12/24","15:00","5.357","-","4.92"
"2007/12/24","16:00","6.294","-","5.9"
"2007/12/24","17:00","6.86","-","6.49"
"2007/12/24","18:00","6.843","-","6.6"
"2007/12/24","19:00","6.159","-","5.93"
"2007/12/24","20:00","4.877","-","4.6"
"2007/12/24","21:00","3.197","-","2.8"
"2007/12/24","22:00","1.408","-","1.11"
"2007/12/24","23:00","-0.178","-","-0.53"
"2007/12/25","00:00","-1.287","-","-1.77"
"2007/12/25","01:00","-1.736","-","-2.16"
"2007/12/25","02:00","-1.479","-","-1.95"
"2007/12/25","03:00","-0.616","-","-1.05"
"2007/12/25","04:00","0.625","-","0.18"
"2007/12/25","05:00","1.95","-","1.55"
"2007/12/25","06:00","3.077","-","2.58"
"2007/12/25","07:00","3.807","-","3.34"
"2007/12/25","08:00","4.067","-","3.55"
"2007/12/25","09:00","3.919","-","3.56"
"2007/12/25","10:00","3.524","-","3.09"
"2007/12/25","11:00","3.099","-","2.58"
"2007/12/25","12:00","2.864","-","2.35"
"2007/12/25","13:00","2.977","-","2.47"
"2007/12/25","14:00","3.495","-","3.08"
"2007/12/25","15:00","4.343","-","3.86"
"2007/12/25","16:00","5.324","-","4.93"
"2007/12/25","17:00","6.173","-","5.78"
"2007/12/25","18:00","6.623","-","6.15"
"2007/12/25","19:00","6.492","-","5.97"
"2007/12/25","20:00","5.727","-","5.32"
"2007/12/25","21:00","4.421","-","4.08"
"2007/12/25","22:00","2.784","-","2.37"
"2007/12/25","23:00","1.1","-","0.62"
"2007/12/26","00:00","-0.333","-","-0.76"
"2007/12/26","01:00","-1.262","-","-1.76"
"2007/12/26","02:00","-1.533","-","-2.29"
"2007/12/26","03:00","-1.132","-","-1.67"
"2007/12/26","04:00","-0.184","-","-0.86"
"2007/12/26","05:00","1.068","-","0.59"
"2007/12/26","06:00","2.337","-","1.84"
"2007/12/26","07:00","3.364","-","2.97"
"2007/12/26","08:00","3.979","-","3.64"
"2007/12/26","09:00","4.138","-","3.76"
"2007/12/26","10:00","3.918","-","3.59"
"2007/12/26","11:00","3.483","-","3.21"
"2007/12/26","12:00","3.05","-","2.69"
"2007/12/26","13:00","2.823","-","2.53"
"2007/12/26","14:00","2.945","-","2.54"
"2007/12/26","15:00","3.45","-","3"
"2007/12/26","16:00","4.246","-","3.9"
"2007/12/26","17:00","5.133","-","4.77"
"2007/12/26","18:00","5.856","-","5.42"
"2007/12/26","19:00","6.18","-","5.86"
"2007/12/26","20:00","5.959","-","5.69"
"2007/12/26","21:00","5.166","-","4.82"
"2007/12/26","22:00","3.908","-","3.49"
"2007/12/26","23:00","2.393","-","1.99"
"2007/12/27","00:00","0.89","-","0.51"
"2007/12/27","01:00","-0.328","-","-0.7"
"2007/12/27","02:00","-1.039","-","-1.43"
"2007/12/27","03:00","-1.125","-","-1.61"
"2007/12/27","04:00","-0.603","-","-1"
"2007/12/27","05:00","0.382","-","-0.06"
"2007/12/27","06:00","1.592","-","1.28"
"2007/12/27","07:00","2.759","-","2.42"
"2007/12/27","08:00","3.657","-","3.36"
"2007/12/27","09:00","4.148","-","3.85"
"2007/12/27","10:00","4.208","-","3.92"
"2007/12/27","11:00","3.921","-","3.6"
"2007/12/27","12:00","3.454","-","3.03"
"2007/12/27","13:00","3.01","-","2.59"
"2007/12/27","14:00","2.78","-","2.25"
"2007/12/27","15:00","2.882","-","2.26"
"2007/12/27","16:00","3.332","-","2.79"
"2007/12/27","17:00","4.027","-","3.63"
"2007/12/27","18:00","4.777","-","4.29"
"2007/12/27","19:00","5.356","-","4.87"
"2007/12/27","20:00","5.567","-","5.05"
"2007/12/27","21:00","5.296","-","4.81"
"2007/12/27","22:00","4.537","-","4.08"
"2007/12/27","23:00","3.396","-","2.83"
"2007/12/28","00:00","2.072","-","1.56"
"2007/12/28","01:00","0.808","-","0.33"
"2007/12/28","02:00","-0.154","-","-0.65"
"2007/12/28","03:00","-0.634","-","-1.06"
"2007/12/28","04:00","-0.55","-","-1.06"
"2007/12/28","05:00","0.056","-","-0.38"
"2007/12/28","06:00","1.031","-","0.69"
"2007/12/28","07:00","2.156","-","1.91"
"2007/12/28","08:00","3.195","-","3.04"
"2007/12/28","09:00","3.955","-","3.87"
"2007/12/28","10:00","4.322","-","4.17"
"2007/12/28","11:00","4.287","-","3.99"
"2007/12/28","12:00","3.939","-","3.78"
"2007/12/28","13:00","3.438","-","3.09"
"2007/12/28","14:00","2.976","-","2.59"
"2007/12/28","15:00","2.718","-","2.37"
"2007/12/28","16:00","2.765","-","2.56"
"2007/12/28","17:00","3.115","-","2.87"
"2007/12/28","18:00","3.672","-","3.32"
"2007/12/28","19:00","4.268","-","3.79"
"2007/12/28","20:00","4.715","-","4.47"
"2007/12/28","21:00","4.85","-","4.62"
"2007/12/28","22:00","4.584","-","4.4"
"2007/12/28","23:00","3.919","-","3.57"
"2007/12/29","00:00","2.956","-","2.56"
"2007/12/29","01:00","1.873","-","1.64"
"2007/12/29","02:00","0.883","-","0.76"
"2007/12/29","03:00","0.186","-","-0.08"
"2007/12/29","04:00","-0.077","-","-0.49"
"2007/12/29","05:00","0.141","-","-0.08"
"2007/12/29","06:00","0.785","-","0.56"
"2007/12/29","07:00","1.713","-","1.61"
"2007/12/29","08:00","2.73","-","2.62"
"2007/12/29","09:00","3.632","-","3.56"
"2007/12/29","10:00","4.253","-","4.21"
"2007/12/29","11:00","4.5","-","4.34"
"2007/12/29","12:00","4.372","-","4.17"
"2007/12/29","13:00","3.96","-","3.76"
"2007/12/29","14:00","3.417","-","3.35"
"2007/12/29","15:00","2.914","-","2.65"
"2007/12/29","16:00","2.599","-","2.2"
"2007/12/29","17:00","2.554","-","2.25"
"2007/12/29","18:00","2.778","-","2.54"
"2007/12/29","19:00","3.188","-","2.94"
"2007/12/29","20:00","3.649","-","3.46"
"2007/12/29","21:00","4.005","-","3.73"
"2007/12/29","22:00","4.119","-","3.89"
"2007/12/29","23:00","3.916","-","3.7"
"2007/12/30","00:00","3.398","-","3.09"
"2007/12/30","01:00","2.654","-","2.35"
"2007/12/30","02:00","1.836","-","1.56"
"2007/12/30","03:00","1.12","-","0.84"
"2007/12/30","04:00","0.667","-","0.46"
"2007/12/30","05:00","0.58","-","0.4"
"2007/12/30","06:00","0.886","-","0.68"
"2007/12/30","07:00","1.53","-","1.25"
"2007/12/30","08:00","2.387","-","2.26"
"2007/12/30","09:00","3.288","-","3.25"
"2007/12/30","10:00","4.054","-","4.01"
"2007/12/30","11:00","4.54","-","4.39"
"2007/12/30","12:00","4.668","-","4.45"
"2007/12/30","13:00","4.444","-","4.28"
"2007/12/30","14:00","3.957","-","3.68"
"2007/12/30","15:00","3.35","-","3.02"
"2007/12/30","16:00","2.781","-","2.33"
"2007/12/30","17:00","2.38","-","2"
"2007/12/30","18:00","2.225","-","1.81"
"2007/12/30","19:00","2.323","-","1.92"
"2007/12/30","20:00","2.615","-","2.33"
"2007/12/30","21:00","2.992","-","2.61"
"2007/12/30","22:00","3.318","-","2.84"
"2007/12/30","23:00","3.472","-","3.04"
"2007/12/31","00:00","3.383","-","3"
"2007/12/31","01:00","3.047","-","2.56"
"2007/12/31","02:00","2.535","-","2.07"
"2007/12/31","03:00","1.97","-","1.44"
"2007/12/31","04:00","1.495","-","1.01"
"2007/12/31","05:00","1.234","-","0.88"
"2007/12/31","06:00","1.27","-","0.97"
"2007/12/31","07:00","1.621","-","1.34"
"2007/12/31","08:00","2.241","-","1.92"
"2007/12/31","09:00","3.02","-","2.73"
"2007/12/31","10:00","3.809","-","3.55"
"2007/12/31","11:00","4.446","-","4.2"
"2007/12/31","12:00","4.801","-","4.46"
"2007/12/31","13:00","4.806","-","4.44"
"2007/12/31","14:00","4.474","-","3.99"
"2007/12/31","15:00","3.893","-","3.43"
"2007/12/31","16:00","3.198","-","2.81"
"2007/12/31","17:00","2.536","-","2.16"
"2007/12/31","18:00","2.036","-","1.62"
"2007/12/31","19:00","1.78","-","1.4"
"2007/12/31","20:00","1.79","-","1.47"
"2007/12/31","21:00","2.024","-","1.72"
"2007/12/31","22:00","2.384","-","1.96"
"2007/12/31","23:00","2.746","-","2.47"
"2008/01/01","00:00","2.933","-","2.68"
"2008/01/01","01:00","3.007","-","2.75"
"2008/01/01","02:00","2.878","-","2.54"
"2008/01/01","03:00","2.597","-","2.16"
"2008/01/01","04:00","2.262","-","1.83"
"2008/01/01","05:00","1.988","-","1.69"
"2008/01/01","06:00","1.879","-","1.56"
"2008/01/01","07:00","2.006","-","1.73"
"2008/01/01","08:00","2.388","-","2.14"
"2008/01/01","09:00","2.986","-","2.82"
"2008/01/01","10:00","3.698","-","3.46"
"2008/01/01","11:00","4.381","-","4.17"
"2008/01/01","12:00","4.886","-","4.7"
"2008/01/01","13:00","5.091","-","4.82"
"2008/01/01","14:00","4.94","-","4.68"
"2008/01/01","15:00","4.454","-","4.23"
"2008/01/01","16:00","3.724","-","3.49"
"2008/01/01","17:00","2.889","-","2.76"
"2008/01/01","18:00","2.102","-","1.93"
"2008/01/01","19:00","1.5","-","1.32"
"2008/01/01","20:00","1.175","-","1.01"
"2008/01/01","21:00","1.159","-","0.99"
"2008/01/01","22:00","1.413","-","1.25"
"2008/01/01","23:00","1.838","-","1.66"
"2008/01/02","00:00","2.305","-","2.15"
"2008/01/02","01:00","2.689","-","2.53"
"2008/01/02","02:00","2.906","-","2.7"
"2008/01/02","03:00","2.932","-","2.71"
"2008/01/02","04:00","2.802","-","2.58"
"2008/01/02","05:00","2.598","-","2.35"
"2008/01/02","06:00","2.425","-","2.15"
"2008/01/02","07:00","2.384","-","2.1"
"2008/01/02","08:00","2.545","-","2.3"
"2008/01/02","09:00","2.932","-","2.72"
"2008/01/02","10:00","3.505","-","3.33"
"2008/01/02","11:00","4.163","-","4.04"
"2008/01/02","12:00","4.764","-","4.65"
"2008/01/02","13:00","5.16","-","5.04"
"2008/01/02","14:00","5.238","-","5.12"
"2008/01/02","15:00","4.948","-","4.84"
"2008/01/02","16:00","4.321","-","4.26"
"2008/01/02","17:00","3.457","-","3.48"
"2008/01/02","18:00","2.504","-","2.56"
"2008/01/02","19:00","1.631","-","1.7"
"2008/01/02","20:00","0.985","-","1.03"
"2008/01/02","21:00","0.666","-","0.73"
"2008/01/02","22:00","0.7","-","0.66"
"2008/01/02","23:00","1.04","-","0.96"
"2008/01/03","00:00","1.573","-","1.5"
"2008/01/03","01:00","2.158","-","2.1"
"2008/01/03","02:00","2.66","-","2.64"
"2008/01/03","03:00","2.987","-","2.91"
"2008/01/03","04:00","3.106","-","2.94"
"2008/01/03","05:00","3.051","-","2.92"
"2008/01/03","06:00","2.903","-","2.82"
"2008/01/03","07:00","2.772","-","2.63"
"2008/01/03","08:00","2.765","-","2.68"
"2008/01/03","09:00","2.956","-","2.88"
"2008/01/03","10:00","3.362","-","3.38"
"2008/01/03","11:00","3.935","-","3.9"
"2008/01/03","12:00","4.562","-","4.61"
"2008/01/03","13:00","5.096","-","5.12"
"2008/01/03","14:00","5.388","-","5.54"
"2008/01/03","15:00","5.328","-","5.4"
"2008/01/03","16:00","4.88","-","5.02"
"2008/01/03","17:00","4.089","-","4.27"
"2008/01/03","18:00","3.078","-","3.35"
"2008/01/03","19:00","2.017","-","2.26"
"2008/01/03","20:00","1.093","-","1.24"
"2008/01/03","21:00","0.462","-","0.61"
"2008/01/03","22:00","0.217","-","0.45"
"2008/01/03","23:00","0.369","-","0.44"
"2008/01/04","00:00","0.846","-","1.08"
"2008/01/04","01:00","1.515","-","1.74"
"2008/01/04","02:00","2.215","-","2.43"
"2008/01/04","03:00","2.801","-","2.87"
"2008/01/04","04:00","3.176","-","3.31"
"2008/01/04","05:00","3.314","-","3.55"
"2008/01/04","06:00","3.259","-","3.54"
"2008/01/04","07:00","3.11","-","3.39"
"2008/01/04","08:00","2.991","-","3.27"
"2008/01/04","09:00","3.014","-","3.34"
"2008/01/04","10:00","3.249","-","3.65"
"2008/01/04","11:00","3.701","-","4.21"
"2008/01/04","12:00","4.3","-","4.82"
"2008/01/04","13:00","4.916","-","5.52"
"2008/01/04","14:00","5.389","-","6.01"
"2008/01/04","15:00","5.567","-","6.11"
"2008/01/04","16:00","5.349","-","5.99"
"2008/01/04","17:00","4.719","-","5.46"
"2008/01/04","18:00","3.75","-","4.59"
"2008/01/04","19:00","2.597","-","3.35"
"2008/01/04","20:00","1.46","-","2.19"
"2008/01/04","21:00","0.539","-","1.34"
"2008/01/04","22:00","-0.013","-","0.84"
"2008/01/04","23:00","-0.12","-","0.64"
"2008/01/05","00:00","0.2","-","0.96"
"2008/01/05","01:00","0.842","-","1.63"
"2008/01/05","02:00","1.644","-","2.21"
"2008/01/05","03:00","2.427","-","3.13"
"2008/01/05","04:00","3.039","-","3.62"
"2008/01/05","05:00","3.392","-","3.88"
"2008/01/05","06:00","3.479","-","3.86"
"2008/01/05","07:00","3.372","-","3.81"
"2008/01/05","08:00","3.194","-","3.58"
"2008/01/05","09:00","3.084","-","3.45"
"2008/01/05","10:00","3.155","-","3.45"
"2008/01/05","11:00","3.464","-","3.97"
"2008/01/05","12:00","3.988","-","4.41"
"2008/01/05","13:00","4.632","-","5.14"
"2008/01/05","14:00","5.242","-","5.67"
"2008/01/05","15:00","5.642","-","5.99"
"2008/01/05","16:00","5.681","-","6.18"
"2008/01/05","17:00","5.278","-","5.43"
"2008/01/05","18:00","4.447","-","4.83"
"2008/01/05","19:00","3.303","-","3.76"
"2008/01/05","20:00","2.037","-","2.55"
"2008/01/05","21:00","0.874","-","1.44"
"2008/01/05","22:00","0.018","-","0.66"
"2008/01/05","23:00","-0.392","-","-0.05"
"2008/01/06","00:00","-0.311","-","0.11"
"2008/01/06","01:00","0.205","-","0.78"
"2008/01/06","02:00","1.012","-","1.82"
"2008/01/06","03:00","1.918","-","2.21"
"2008/01/06","04:00","2.729","-","3.21"
"2008/01/06","05:00","3.3","-","3.82"
"2008/01/06","06:00","3.566","-","4.05"
"2008/01/06","07:00","3.556","-","4.07"
"2008/01/06","08:00","3.374","-","3.77"
"2008/01/06","09:00","3.17","-","3.71"
"2008/01/06","10:00","3.091","-","3.62"
"2008/01/06","11:00","3.239","-","3.64"
"2008/01/06","12:00","3.647","-","4.28"
"2008/01/06","13:00","4.262","-","4.88"
"2008/01/06","14:00","4.952","-","5.21"
"2008/01/06","15:00","5.538","-","5.76"
"2008/01/06","16:00","5.834","-","6.15"
"2008/01/06","17:00","5.701","-","5.9"
"2008/01/06","18:00","5.087","-","5.49"
"2008/01/06","19:00","4.053","-","4.39"
"2008/01/06","20:00","2.759","-","3.03"
"2008/01/06","21:00","1.429","-","1.84"
"2008/01/06","22:00","0.302","-","0.47"
"2008/01/06","23:00","-0.425","-","-0.08"
"2008/01/07","00:00","-0.641","-","-0.29"
"2008/01/07","01:00","-0.339","-","0"
"2008/01/07","02:00","0.377","-","0.75"
"2008/01/07","03:00","1.324","-","1.64"
"2008/01/07","04:00","2.283","-","2.66"
"2008/01/07","05:00","3.059","-","3.43"
"2008/01/07","06:00","3.528","-","3.89"
"2008/01/07","07:00","3.664","-","4.04"
"2008/01/07","08:00","3.537","-","3.84"
"2008/01/07","09:00","3.287","-","3.72"
"2008/01/07","10:00","3.08","-","3.55"
"2008/01/07","11:00","3.061","-","3.44"
"2008/01/07","12:00","3.313","-","3.72"
"2008/01/07","13:00","3.837","-","4.16"
"2008/01/07","14:00","4.54","-","4.8"
"2008/01/07","15:00","5.254","-","5.52"
"2008/01/07","16:00","5.778","-","6.05"
"2008/01/07","17:00","5.927","-","6.05"
"2008/01/07","18:00","5.588","-","5.6"
"2008/01/07","19:00","4.757","-","4.73"
"2008/01/07","20:00","3.542","-","3.56"
"2008/01/07","21:00","2.147","-","2.13"
"2008/01/07","22:00","0.818","-","0.74"
"2008/01/07","23:00","-0.205","-","-0.27"
"2008/01/08","00:00","-0.744","-","-0.69"
"2008/01/08","01:00","-0.726","-","-0.82"
"2008/01/08","02:00","-0.192","-","-0.19"
"2008/01/08","03:00","0.704","-","0.7"
"2008/01/08","04:00","1.742","-","1.65"
"2008/01/08","05:00","2.691","-","2.65"
"2008/01/08","06:00","3.371","-","3.34"
"2008/01/08","07:00","3.694","-","3.66"
"2008/01/08","08:00","3.682","-","3.69"
"2008/01/08","09:00","3.445","-","3.44"
"2008/01/08","10:00","3.151","-","3.04"
"2008/01/08","11:00","2.97","-","3.14"
"2008/01/08","12:00","3.037","-","3.05"
"2008/01/08","13:00","3.407","-","3.62"
"2008/01/08","14:00","4.041","-","4.09"
"2008/01/08","15:00","4.805","-","4.83"
"2008/01/08","16:00","5.498","-","5.64"
"2008/01/08","17:00","5.91","-","5.88"
"2008/01/08","18:00","5.872","-","5.7"
"2008/01/08","19:00","5.316","-","5.17"
"2008/01/08","20:00","4.288","-","4.14"
"2008/01/08","21:00","2.944","-","2.97"
"2008/01/08","22:00","1.517","-","1.49"
"2008/01/08","23:00","0.264","-","0.19"
"2008/01/09","00:00","-0.587","-","-0.35"
"2008/01/09","01:00","-0.89","-","-0.82"
"2008/01/09","02:00","-0.618","-","-0.55"
"2008/01/09","03:00","0.134","-","0.27"
"2008/01/09","04:00","1.165","-","1.3"
"2008/01/09","05:00","2.231","-","2.31"
"2008/01/09","06:00","3.106","-","3.07"
"2008/01/09","07:00","3.642","-","3.53"
"2008/01/09","08:00","3.798","-","3.77"
"2008/01/09","09:00","3.64","-","3.56"
"2008/01/09","10:00","3.314","-","3.35"
"2008/01/09","11:00","3","-","3.01"
"2008/01/09","12:00","2.869","-","2.78"
"2008/01/09","13:00","3.033","-","3.03"
"2008/01/09","14:00","3.514","-","3.58"
"2008/01/09","15:00","4.229","-","4.18"
"2008/01/09","16:00","5.004","-","4.92"
"2008/01/09","17:00","5.622","-","5.57"
"2008/01/09","18:00","5.877","-","5.82"
"2008/01/09","19:00","5.639","-","5.56"
"2008/01/09","20:00","4.887","-","4.68"
"2008/01/09","21:00","3.715","-","3.56"
"2008/01/09","22:00","2.318","-","2.15"
"2008/01/09","23:00","0.942","-","0.78"
"2008/01/10","00:00","-0.158","-","-0.28"
"2008/01/10","01:00","-0.778","-","-0.76"
"2008/01/10","02:00","-0.816","-","-0.91"
"2008/01/10","03:00","-0.296","-","-0.46"
"2008/01/10","04:00","0.631","-","0.5"
"2008/01/10","05:00","1.734","-","1.7"
"2008/01/10","06:00","2.76","-","2.5"
"2008/01/10","07:00","3.507","-","3.28"
"2008/01/10","08:00","3.869","-","3.64"
"2008/01/10","09:00","3.854","-","3.68"
"2008/01/10","10:00","3.564","-","3.48"
"2008/01/10","11:00","3.168","-","3.01"
"2008/01/10","12:00","2.854","-","2.83"
"2008/01/10","13:00","2.78","-","2.6"
"2008/01/10","14:00","3.032","-","2.9"
"2008/01/10","15:00","3.591","-","3.5"
"2008/01/10","16:00","4.335","-","4.23"
"2008/01/10","17:00","5.065","-","4.93"
"2008/01/10","18:00","5.561","-","5.55"
"2008/01/10","19:00","5.645","-","5.51"
"2008/01/10","20:00","5.229","-","5.13"
"2008/01/10","21:00","4.339","-","4.14"
"2008/01/10","22:00","3.107","-","2.95"
"2008/01/10","23:00","1.747","-","1.6"
"2008/01/11","00:00","0.51","-","0.27"
"2008/01/11","01:00","-0.369","-","-0.48"
"2008/01/11","02:00","-0.721","-","-0.91"
"2008/01/11","03:00","-0.494","-","-0.53"
"2008/01/11","04:00","0.234","-","0.08"
"2008/01/11","05:00","1.273","-","1.17"
"2008/01/11","06:00","2.375","-","2.23"
"2008/01/11","07:00","3.3","-","3.03"
"2008/01/11","08:00","3.883","-","3.64"
"2008/01/11","09:00","4.061","-","3.83"
"2008/01/11","10:00","3.88","-","3.72"
"2008/01/11","11:00","3.472","-","3.27"
"2008/01/11","12:00","3.02","-","2.83"
"2008/01/11","13:00","2.708","-","2.49"
"2008/01/11","14:00","2.678","-","2.52"
"2008/01/11","15:00","2.982","-","2.89"
"2008/01/11","16:00","3.567","-","3.51"
"2008/01/11","17:00","4.282","-","4.23"
"2008/01/11","18:00","4.921","-","4.82"
"2008/01/11","19:00","5.281","-","5.19"
"2008/01/11","20:00","5.219","-","4.99"
"2008/01/11","21:00","4.688","-","4.55"
"2008/01/11","22:00","3.749","-","3.5"
"2008/01/11","23:00","2.556","-","2.3"
"2008/01/12","00:00","1.327","-","1.13"
"2008/01/12","01:00","0.302","-","0.16"
"2008/01/12","02:00","-0.312","-","-0.47"
"2008/01/12","03:00","-0.392","-","-0.59"
"2008/01/12","04:00","0.065","-","0.01"
"2008/01/12","05:00","0.937","-","0.66"
"2008/01/12","06:00","2.012","-","1.97"
"2008/01/12","07:00","3.047","-","2.75"
"2008/01/12","08:00","3.83","-","3.74"
"2008/01/12","09:00","4.232","-","3.83"
"2008/01/12","10:00","4.227","-","3.99"
"2008/01/12","11:00","3.89","-","3.51"
"2008/01/12","12:00","3.374","-","3.12"
"2008/01/12","13:00","2.865","-","2.48"
"2008/01/12","14:00","2.54","-","2.43"
"2008/01/12","15:00","2.518","-","2.14"
"2008/01/12","16:00","2.822","-","2.7"
