"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/12/16","00:00","0.436","-","0.41"
"2021/12/16","01:00","1.071","-","1.07"
"2021/12/16","02:00","1.893","-","1.88"
"2021/12/16","03:00","2.697","-","2.69"
"2021/12/16","04:00","3.301","-","3.34"
"2021/12/16","05:00","3.589","-","3.64"
"2021/12/16","06:00","3.548","-","3.66"
"2021/12/16","07:00","3.258","-","3.51"
"2021/12/16","08:00","2.871","-","3.06"
"2021/12/16","09:00","2.563","-","2.82"
"2021/12/16","10:00","2.489","-","2.76"
"2021/12/16","11:00","2.734","-","3.08"
"2021/12/16","12:00","3.292","-","3.69"
"2021/12/16","13:00","4.058","-","4.37"
"2021/12/16","14:00","4.852","-","5.12"
"2021/12/16","15:00","5.465","-","5.68"
"2021/12/16","16:00","5.713","-","5.96"
"2021/12/16","17:00","5.486","-","5.74"
"2021/12/16","18:00","4.787","-","4.95"
"2021/12/16","19:00","3.723","-","3.94"
"2021/12/16","20:00","2.488","-","2.68"
"2021/12/16","21:00","1.308","-","1.42"
"2021/12/16","22:00","0.4","-","0.51"
"2021/12/16","23:00","-0.082","-","0.08"
"2021/12/17","00:00","-0.073","-","-0.15"
"2021/12/17","01:00","0.388","-","0.46"
"2021/12/17","02:00","1.169","-","1.12"
"2021/12/17","03:00","2.073","-","1.95"
"2021/12/17","04:00","2.891","-","2.83"
"2021/12/17","05:00","3.456","-","3.29"
"2021/12/17","06:00","3.684","-","3.61"
"2021/12/17","07:00","3.596","-","3.61"
"2021/12/17","08:00","3.303","-","3.28"
"2021/12/17","09:00","2.969","-","2.95"
"2021/12/17","10:00","2.767","-","2.84"
"2021/12/17","11:00","2.823","-","2.88"
"2021/12/17","12:00","3.19","-","3.22"
"2021/12/17","13:00","3.823","-","3.81"
"2021/12/17","14:00","4.587","-","4.57"
"2021/12/17","15:00","5.287","-","5.17"
"2021/12/17","16:00","5.717","-","5.62"
"2021/12/17","17:00","5.721","-","5.75"
"2021/12/17","18:00","5.233","-","5.2"
"2021/12/17","19:00","4.306","-","4.15"
"2021/12/17","20:00","3.093","-","2.97"
"2021/12/17","21:00","1.812","-","1.78"
"2021/12/17","22:00","0.694","-","0.59"
"2021/12/17","23:00","-0.064","-","-0.23"
"2021/12/18","00:00","-0.344","-","-0.52"
"2021/12/18","01:00","-0.122","-","-0.34"
"2021/12/18","02:00","0.521","-","0.34"
"2021/12/18","03:00","1.416","-","1.23"
"2021/12/18","04:00","2.354","-","2.17"
"2021/12/18","05:00","3.131","-","2.94"
"2021/12/18","06:00","3.61","-","3.37"
"2021/12/18","07:00","3.748","-","3.6"
"2021/12/18","08:00","3.603","-","3.52"
"2021/12/18","09:00","3.31","-","3.26"
"2021/12/18","10:00","3.04","-","3.01"
"2021/12/18","11:00","2.946","-","2.88"
"2021/12/18","12:00","3.129","-","3.13"
"2021/12/18","13:00","3.601","-","3.68"
"2021/12/18","14:00","4.282","-","4.32"
"2021/12/18","15:00","5.01","-","5.02"
"2021/12/18","16:00","5.58","-","5.55"
"2021/12/18","17:00","5.803","-","5.77"
"2021/12/18","18:00","5.559","-","5.62"
"2021/12/18","19:00","4.836","-","4.84"
"2021/12/18","20:00","3.734","-","3.79"
"2021/12/18","21:00","2.441","-","2.43"
"2021/12/18","22:00","1.187","-","1.15"
"2021/12/18","23:00","0.192","-","0.19"
"2021/12/19","00:00","-0.374","-","-0.35"
"2021/12/19","01:00","-0.432","-","-0.45"
"2021/12/19","02:00","-0.004","-","-0.01"
"2021/12/19","03:00","0.786","-","0.71"
"2021/12/19","04:00","1.747","-","1.71"
"2021/12/19","05:00","2.663","-","2.63"
"2021/12/19","06:00","3.354","-","3.33"
"2021/12/19","07:00","3.72","-","3.8"
"2021/12/19","08:00","3.762","-","3.81"
"2021/12/19","09:00","3.57","-","3.71"
"2021/12/19","10:00","3.293","-","3.47"
"2021/12/19","11:00","3.095","-","3.36"
"2021/12/19","12:00","3.111","-","3.37"
"2021/12/19","13:00","3.408","-","3.67"
"2021/12/19","14:00","3.962","-","4.35"
"2021/12/19","15:00","4.656","-","4.96"
"2021/12/19","16:00","5.308","-","5.56"
"2021/12/19","17:00","5.718","-","5.97"
"2021/12/19","18:00","5.723","-","5.99"
"2021/12/19","19:00","5.252","-","5.47"
"2021/12/19","20:00","4.341","-","4.52"
"2021/12/19","21:00","3.131","-","3.31"
"2021/12/19","22:00","1.828","-","1.97"
"2021/12/19","23:00","0.661","-","0.79"
"2021/12/20","00:00","-0.167","-","-0.05"
"2021/12/20","01:00","-0.522","-","-0.38"
"2021/12/20","02:00","-0.364","-","-0.32"
"2021/12/20","03:00","0.239","-","0.24"
"2021/12/20","04:00","1.128","-","1.14"
"2021/12/20","05:00","2.098","-","2.16"
"2021/12/20","06:00","2.945","-","2.96"
"2021/12/20","07:00","3.523","-","3.57"
"2021/12/20","08:00","3.775","-","3.85"
"2021/12/20","09:00","3.735","-","3.94"
"2021/12/20","10:00","3.516","-","3.6"
"2021/12/20","11:00","3.271","-","3.47"
"2021/12/20","12:00","3.154","-","3.38"
"2021/12/20","13:00","3.273","-","3.54"
"2021/12/20","14:00","3.663","-","3.88"
"2021/12/20","15:00","4.263","-","4.52"
"2021/12/20","16:00","4.928","-","5.22"
"2021/12/20","17:00","5.467","-","5.7"
"2021/12/20","18:00","5.697","-","5.89"
"2021/12/20","19:00","5.495","-","5.72"
"2021/12/20","20:00","4.835","-","5.09"
"2021/12/20","21:00","3.798","-","4.07"
"2021/12/20","22:00","2.547","-","2.81"
"2021/12/20","23:00","1.295","-","1.49"
"2021/12/21","00:00","0.262","-","0.5"
"2021/12/21","01:00","-0.375","-","-0.19"
"2021/12/21","02:00","-0.517","-","-0.43"
"2021/12/21","03:00","-0.17","-","-0.1"
"2021/12/21","04:00","0.561","-","0.62"
"2021/12/21","05:00","1.495","-","1.55"
"2021/12/21","06:00","2.427","-","2.51"
"2021/12/21","07:00","3.178","-","3.39"
"2021/12/21","08:00","3.64","-","3.77"
"2021/12/21","09:00","3.791","-","3.92"
"2021/12/21","10:00","3.692","-","3.93"
"2021/12/21","11:00","3.467","-","3.78"
"2021/12/21","12:00","3.265","-","3.54"
"2021/12/21","13:00","3.225","-","3.51"
"2021/12/21","14:00","3.43","-","3.79"
"2021/12/21","15:00","3.879","-","4.15"
"2021/12/21","16:00","4.482","-","4.84"
"2021/12/21","17:00","5.075","-","5.28"
"2021/12/21","18:00","5.475","-","5.78"
"2021/12/21","19:00","5.525","-","5.68"
"2021/12/21","20:00","5.146","-","5.35"
"2021/12/21","21:00","4.352","-","4.46"
"2021/12/21","22:00","3.253","-","3.48"
"2021/12/21","23:00","2.022","-","2.15"
"2021/12/22","00:00","0.872","-","1"
"2021/12/22","01:00","0.004","-","0.22"
"2021/12/22","02:00","-0.434","-","-0.2"
"2021/12/22","03:00","-0.381","-","-0.2"
"2021/12/22","04:00","0.117","-","0.36"
"2021/12/22","05:00","0.927","-","1.07"
"2021/12/22","06:00","1.86","-","2.1"
"2021/12/22","07:00","2.724","-","2.91"
"2021/12/22","08:00","3.373","-","3.56"
"2021/12/22","09:00","3.731","-","3.89"
"2021/12/22","10:00","3.801","-","4.06"
"2021/12/22","11:00","3.662","-","3.88"
"2021/12/22","12:00","3.44","-","3.62"
"2021/12/22","13:00","3.28","-","3.65"
"2021/12/22","14:00","3.3","-","3.66"
"2021/12/22","15:00","3.558","-","3.91"
"2021/12/22","16:00","4.023","-","4.42"
"2021/12/22","17:00","4.583","-","5.03"
"2021/12/22","18:00","5.072","-","5.5"
"2021/12/22","19:00","5.326","-","5.65"
"2021/12/22","20:00","5.221","-","5.58"
"2021/12/22","21:00","4.715","-","5.13"
"2021/12/22","22:00","3.85","-","4.15"
"2021/12/22","23:00","2.75","-","3.11"
"2021/12/23","00:00","1.593","-","2.01"
"2021/12/23","01:00","0.581","-","0.99"
"2021/12/23","02:00","-0.107","-","0.31"
"2021/12/23","03:00","-0.353","-","0.1"
"2021/12/23","04:00","-0.135","-","0.27"
"2021/12/23","05:00","0.472","-","0.9"
"2021/12/23","06:00","1.319","-","1.72"
"2021/12/23","07:00","2.222","-","2.7"
"2021/12/23","08:00","3.011","-","3.48"
"2021/12/23","09:00","3.566","-","4.08"
"2021/12/23","10:00","3.835","-","4.34"
"2021/12/23","11:00","3.838","-","4.42"
"2021/12/23","12:00","3.662","-","4.25"
"2021/12/23","13:00","3.435","-","4.08"
"2021/12/23","14:00","3.294","-","3.99"
"2021/12/23","15:00","3.34","-","4.06"
"2021/12/23","16:00","3.606","-","4.42"
"2021/12/23","17:00","4.041","-","4.79"
"2021/12/23","18:00","4.525","-","5.19"
"2021/12/23","19:00","4.903","-","5.48"
"2021/12/23","20:00","5.034","-","5.7"
"2021/12/23","21:00","4.823","-","5.44"
"2021/12/23","22:00","4.252","-","4.9"
"2021/12/23","23:00","3.379","-","4.1"
"2021/12/24","00:00","2.333","-","3.08"
"2021/12/24","01:00","1.291","-","1.92"
"2021/12/24","02:00","0.439","-","1.11"
"2021/12/24","03:00","-0.067","-","0.69"
"2021/12/24","04:00","-0.143","-","0.53"
"2021/12/24","05:00","0.206","-","0.88"
"2021/12/24","06:00","0.885","-","1.45"
"2021/12/24","07:00","1.743","-","2.41"
"2021/12/24","08:00","2.608","-","3.31"
"2021/12/24","09:00","3.327","-","4.04"
"2021/12/24","10:00","3.798","-","4.41"
"2021/12/24","11:00","3.981","-","4.69"
"2021/12/24","12:00","3.911","-","4.61"
"2021/12/24","13:00","3.682","-","4.55"
"2021/12/24","14:00","3.421","-","4.26"
"2021/12/24","15:00","3.259","-","3.96"
"2021/12/24","16:00","3.283","-","3.99"
"2021/12/24","17:00","3.509","-","4.1"
"2021/12/24","18:00","3.881","-","4.47"
"2021/12/24","19:00","4.282","-","4.76"
"2021/12/24","20:00","4.574","-","5.04"
"2021/12/24","21:00","4.633","-","5.11"
"2021/12/24","22:00","4.382","-","4.85"
"2021/12/24","23:00","3.814","-","4.24"
"2021/12/25","00:00","2.992","-","3.44"
"2021/12/25","01:00","2.045","-","2.48"
"2021/12/25","02:00","1.144","-","1.66"
"2021/12/25","03:00","0.458","-","0.97"
"2021/12/25","04:00","0.117","-","0.46"
"2021/12/25","05:00","0.183","-","0.61"
"2021/12/25","06:00","0.63","-","0.94"
"2021/12/25","07:00","1.359","-","1.73"
"2021/12/25","08:00","2.221","-","2.47"
"2021/12/25","09:00","3.052","-","3.36"
"2021/12/25","10:00","3.707","-","4.08"
"2021/12/25","11:00","4.093","-","4.5"
"2021/12/25","12:00","4.179","-","4.57"
"2021/12/25","13:00","4.011","-","4.48"
"2021/12/25","14:00","3.688","-","4.13"
"2021/12/25","15:00","3.346","-","3.83"
"2021/12/25","16:00","3.108","-","3.57"
"2021/12/25","17:00","3.058","-","3.59"
"2021/12/25","18:00","3.211","-","3.69"
"2021/12/25","19:00","3.513","-","3.95"
"2021/12/25","20:00","3.859","-","4.41"
"2021/12/25","21:00","4.12","-","4.63"
"2021/12/25","22:00","4.178","-","4.75"
"2021/12/25","23:00","3.959","-","4.45"
"2021/12/26","00:00","3.457","-","4.03"
"2021/12/26","01:00","2.734","-","3.3"
"2021/12/26","02:00","1.917","-","2.57"
"2021/12/26","03:00","1.164","-","1.73"
"2021/12/26","04:00","0.63","-","1.19"
"2021/12/26","05:00","0.429","-","0.9"
"2021/12/26","06:00","0.607","-","1.09"
"2021/12/26","07:00","1.133","-","1.59"
"2021/12/26","08:00","1.904","-","2.32"
"2021/12/26","09:00","2.774","-","3.13"
"2021/12/26","10:00","3.576","-","3.93"
"2021/12/26","11:00","4.166","-","4.47"
"2021/12/26","12:00","4.451","-","4.76"
"2021/12/26","13:00","4.411","-","4.76"
"2021/12/26","14:00","4.1","-","4.34"
"2021/12/26","15:00","3.632","-","3.81"
"2021/12/26","16:00","3.148","-","3.38"
"2021/12/26","17:00","2.781","-","3.03"
"2021/12/26","18:00","2.62","-","2.82"
"2021/12/26","19:00","2.693","-","2.86"
"2021/12/26","20:00","2.953","-","3.05"
"2021/12/26","21:00","3.3","-","3.4"
"2021/12/26","22:00","3.602","-","3.7"
"2021/12/26","23:00","3.734","-","3.73"
"2021/12/27","00:00","3.615","-","3.79"
"2021/12/27","01:00","3.228","-","3.49"
"2021/12/27","02:00","2.635","-","2.83"
"2021/12/27","03:00","1.954","-","2.13"
"2021/12/27","04:00","1.337","-","1.56"
"2021/12/27","05:00","0.929","-","1.17"
"2021/12/27","06:00","0.837","-","1.08"
"2021/12/27","07:00","1.105","-","1.42"
"2021/12/27","08:00","1.702","-","1.93"
"2021/12/27","09:00","2.52","-","2.66"
"2021/12/27","10:00","3.405","-","3.61"
"2021/12/27","11:00","4.179","-","4.31"
"2021/12/27","12:00","4.691","-","4.98"
"2021/12/27","13:00","4.849","-","5.19"
"2021/12/27","14:00","4.64","-","4.88"
"2021/12/27","15:00","4.134","-","4.47"
"2021/12/27","16:00","3.461","-","3.81"
"2021/12/27","17:00","2.782","-","3.16"
"2021/12/27","18:00","2.249","-","2.65"
"2021/12/27","19:00","1.971","-","2.32"
"2021/12/27","20:00","1.988","-","2.32"
"2021/12/27","21:00","2.26","-","2.59"
"2021/12/27","22:00","2.678","-","2.98"
"2021/12/27","23:00","3.095","-","3.47"
"2021/12/28","00:00","3.366","-","3.65"
"2021/12/28","01:00","3.394","-","3.65"
"2021/12/28","02:00","3.152","-","3.48"
"2021/12/28","03:00","2.694","-","2.95"
"2021/12/28","04:00","2.134","-","2.46"
"2021/12/28","05:00","1.622","-","1.88"
"2021/12/28","06:00","1.306","-","1.47"
"2021/12/28","07:00","1.299","-","1.63"
"2021/12/28","08:00","1.648","-","1.86"
"2021/12/28","09:00","2.317","-","2.55"
"2021/12/28","10:00","3.19","-","3.45"
"2021/12/28","11:00","4.092","-","4.22"
"2021/12/28","12:00","4.831","-","5.07"
"2021/12/28","13:00","5.245","-","5.43"
"2021/12/28","14:00","5.243","-","5.46"
"2021/12/28","15:00","4.822","-","5.02"
"2021/12/28","16:00","4.071","-","4.41"
"2021/12/28","17:00","3.148","-","3.54"
"2021/12/28","18:00","2.242","-","2.63"
"2021/12/28","19:00","1.538","-","1.89"
"2021/12/28","20:00","1.166","-","1.54"
"2021/12/28","21:00","1.176","-","1.51"
"2021/12/28","22:00","1.524","-","1.87"
"2021/12/28","23:00","2.08","-","2.42"
"2021/12/29","00:00","2.669","-","2.99"
"2021/12/29","01:00","3.122","-","3.49"
"2021/12/29","02:00","3.318","-","3.6"
"2021/12/29","03:00","3.22","-","3.53"
"2021/12/29","04:00","2.874","-","3.25"
"2021/12/29","05:00","2.4","-","2.79"
"2021/12/29","06:00","1.956","-","2.35"
"2021/12/29","07:00","1.705","-","2.08"
"2021/12/29","08:00","1.768","-","2.27"
"2021/12/29","09:00","2.196","-","2.6"
"2021/12/29","10:00","2.943","-","3.41"
"2021/12/29","11:00","3.875","-","4.38"
"2021/12/29","12:00","4.793","-","5.26"
"2021/12/29","13:00","5.485","-","5.95"
"2021/12/29","14:00","5.779","-","6.33"
"2021/12/29","15:00","5.585","-","6.11"
"2021/12/29","16:00","4.916","-","5.5"
"2021/12/29","17:00","3.889","-","4.55"
"2021/12/29","18:00","2.697","-","3.37"
"2021/12/29","19:00","1.569","-","2.25"
"2021/12/29","20:00","0.72","-","1.44"
"2021/12/29","21:00","0.302","-","0.93"
"2021/12/29","22:00","0.366","-","1.01"
"2021/12/29","23:00","0.846","-","1.36"
"2021/12/30","00:00","1.587","-","2.12"
"2021/12/30","01:00","2.378","-","2.92"
"2021/12/30","02:00","3.021","-","3.42"
"2021/12/30","03:00","3.374","-","3.79"
"2021/12/30","04:00","3.389","-","3.72"
"2021/12/30","05:00","3.115","-","3.52"
"2021/12/30","06:00","2.685","-","3.16"
"2021/12/30","07:00","2.277","-","2.69"
"2021/12/30","08:00","2.07","-","2.46"
"2021/12/30","09:00","2.199","-","2.71"
"2021/12/30","10:00","2.707","-","3.11"
"2021/12/30","11:00","3.536","-","3.99"
"2021/12/30","12:00","4.525","-","5.04"
"2021/12/30","13:00","5.451","-","5.93"
"2021/12/30","14:00","6.082","-","6.47"
"2021/12/30","15:00","6.237","-","6.63"
"2021/12/30","16:00","5.83","-","6.25"
"2021/12/30","17:00","4.898","-","5.27"
"2021/12/30","18:00","3.593","-","4.04"
"2021/12/30","19:00","2.15","-","2.64"
"2021/12/30","20:00","0.837","-","1.42"
"2021/12/30","21:00","-0.101","-","0.23"
"2021/12/30","22:00","-0.506","-","0.02"
"2021/12/30","23:00","-0.338","-","0.09"
"2021/12/31","00:00","0.313","-","0.78"
"2021/12/31","01:00","1.256","-","1.63"
"2021/12/31","02:00","2.246","-","2.55"
"2021/12/31","03:00","3.054","-","3.4"
"2021/12/31","04:00","3.523","-","3.84"
"2021/12/31","05:00","3.6","-","3.9"
"2021/12/31","06:00","3.349","-","3.72"
"2021/12/31","07:00","2.926","-","3.36"
"2021/12/31","08:00","2.532","-","3"
"2021/12/31","09:00","2.363","-","2.93"
"2021/12/31","10:00","2.555","-","3.03"
