"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"1998/01/18","00:00","2.71","-","2.84"
"1998/01/18","01:00","1.887","-","1.83"
"1998/01/18","02:00","1.175","-","1.18"
"1998/01/18","03:00","0.731","-","0.73"
"1998/01/18","04:00","0.654","-","0.84"
"1998/01/18","05:00","0.959","-","1.17"
"1998/01/18","06:00","1.576","-","1.89"
"1998/01/18","07:00","2.373","-","2.53"
"1998/01/18","08:00","3.184","-","3.53"
"1998/01/18","09:00","3.851","-","4.34"
"1998/01/18","10:00","4.251","-","4.58"
"1998/01/18","11:00","4.325","-","4.77"
"1998/01/18","12:00","4.092","-","4.51"
"1998/01/18","13:00","3.644","-","4.09"
"1998/01/18","14:00","3.122","-","3.49"
"1998/01/18","15:00","2.678","-","3.13"
"1998/01/18","16:00","2.428","-","2.82"
"1998/01/18","17:00","2.427","-","2.93"
"1998/01/18","18:00","2.65","-","3.26"
"1998/01/18","19:00","3.014","-","3.58"
"1998/01/18","20:00","3.395","-","3.93"
"1998/01/18","21:00","3.665","-","4.24"
"1998/01/18","22:00","3.722","-","4.45"
"1998/01/18","23:00","3.517","-","4.27"
"1998/01/19","00:00","3.07","-","3.72"
"1998/01/19","01:00","2.465","-","3.19"
"1998/01/19","02:00","1.84","-","2.4"
"1998/01/19","03:00","1.341","-","2.09"
"1998/01/19","04:00","1.092","-","1.61"
"1998/01/19","05:00","1.157","-","1.67"
"1998/01/19","06:00","1.531","-","2.01"
"1998/01/19","07:00","2.141","-","2.64"
"1998/01/19","08:00","2.871","-","3.4"
"1998/01/19","09:00","3.577","-","4.1"
"1998/01/19","10:00","4.123","-","4.68"
"1998/01/19","11:00","4.407","-","4.95"
"1998/01/19","12:00","4.384","-","4.99"
"1998/01/19","13:00","4.079","-","4.57"
"1998/01/19","14:00","3.585","-","3.93"
"1998/01/19","15:00","3.035","-","3.49"
"1998/01/19","16:00","2.564","-","3.05"
"1998/01/19","17:00","2.273","-","2.63"
"1998/01/19","18:00","2.21","-","2.59"
"1998/01/19","19:00","2.355","-","2.88"
"1998/01/19","20:00","2.639","-","3.16"
"1998/01/19","21:00","2.96","-","3.44"
"1998/01/19","22:00","3.207","-","3.68"
"1998/01/19","23:00","3.29","-","3.54"
"1998/01/20","00:00","3.162","-","3.45"
"1998/01/20","01:00","2.841","-","2.86"
"1998/01/20","02:00","2.4","-","2.83"
"1998/01/20","03:00","1.954","-","2.46"
"1998/01/20","04:00","1.623","-","1.99"
"1998/01/20","05:00","1.506","-","1.75"
"1998/01/20","06:00","1.65","-","1.94"
"1998/01/20","07:00","2.046","-","2.32"
"1998/01/20","08:00","2.63","-","2.88"
"1998/01/20","09:00","3.299","-","3.62"
"1998/01/20","10:00","3.924","-","4.08"
"1998/01/20","11:00","4.38","-","4.7"
"1998/01/20","12:00","4.572","-","4.99"
"1998/01/20","13:00","4.462","-","4.78"
"1998/01/20","14:00","4.081","-","4.26"
"1998/01/20","15:00","3.517","-","4.07"
"1998/01/20","16:00","2.9","-","3.12"
"1998/01/20","17:00","2.358","-","2.96"
"1998/01/20","18:00","1.994","-","2.4"
"1998/01/20","19:00","1.858","-","2.16"
"1998/01/20","20:00","1.948","-","2.32"
"1998/01/20","21:00","2.205","-","2.56"
"1998/01/20","22:00","2.534","-","2.99"
"1998/01/20","23:00","2.827","-","3.38"
"1998/01/21","00:00","2.992","-","3.26"
"1998/01/21","01:00","2.977","-","3.25"
"1998/01/21","02:00","2.789","-","3.08"
"1998/01/21","03:00","2.488","-","2.74"
"1998/01/21","04:00","2.172","-","2.33"
"1998/01/21","05:00","1.946","-","2.09"
"1998/01/21","06:00","1.898","-","2.1"
"1998/01/21","07:00","2.076","-","2.29"
"1998/01/21","08:00","2.477","-","2.68"
"1998/01/21","09:00","3.045","-","3.28"
"1998/01/21","10:00","3.68","-","3.94"
"1998/01/21","11:00","4.255","-","4.49"
"1998/01/21","12:00","4.645","-","4.93"
"1998/01/21","13:00","4.756","-","5.02"
"1998/01/21","14:00","4.553","-","4.81"
"1998/01/21","15:00","4.069","-","4.36"
"1998/01/21","16:00","3.397","-","3.65"
"1998/01/21","17:00","2.67","-","2.83"
"1998/01/21","18:00","2.026","-","2.34"
"1998/01/21","19:00","1.58","-","1.88"
"1998/01/21","20:00","1.399","-","1.7"
"1998/01/21","21:00","1.486","-","1.78"
"1998/01/21","22:00","1.785","-","1.98"
"1998/01/21","23:00","2.192","-","2.38"
"1998/01/22","00:00","2.587","-","2.79"
"1998/01/22","01:00","2.865","-","3.04"
"1998/01/22","02:00","2.965","-","3.17"
"1998/01/22","03:00","2.883","-","3"
"1998/01/22","04:00","2.67","-","2.75"
"1998/01/22","05:00","2.418","-","2.49"
"1998/01/22","06:00","2.234","-","2.27"
"1998/01/22","07:00","2.212","-","2.35"
"1998/01/22","08:00","2.408","-","2.54"
"1998/01/22","09:00","2.826","-","2.97"
"1998/01/22","10:00","3.408","-","3.59"
"1998/01/22","11:00","4.044","-","4.19"
"1998/01/22","12:00","4.597","-","4.73"
"1998/01/22","13:00","4.933","-","5.08"
"1998/01/22","14:00","4.956","-","5.15"
"1998/01/22","15:00","4.632","-","4.85"
"1998/01/22","16:00","4.004","-","4.18"
"1998/01/22","17:00","3.18","-","3.39"
"1998/01/22","18:00","2.311","-","2.53"
"1998/01/22","19:00","1.559","-","1.74"
"1998/01/22","20:00","1.059","-","1.27"
"1998/01/22","21:00","0.886","-","0.99"
"1998/01/22","22:00","1.042","-","1.25"
"1998/01/22","23:00","1.453","-","1.59"
"1998/01/23","00:00","1.994","-","2.16"
"1998/01/23","01:00","2.521","-","2.78"
"1998/01/23","02:00","2.914","-","3.2"
"1998/01/23","03:00","3.097","-","3.37"
"1998/01/23","04:00","3.064","-","3.25"
"1998/01/23","05:00","2.87","-","3.07"
"1998/01/23","06:00","2.619","-","2.82"
"1998/01/23","07:00","2.433","-","2.64"
"1998/01/23","08:00","2.421","-","2.6"
"1998/01/23","09:00","2.65","-","2.86"
"1998/01/23","10:00","3.117","-","3.43"
"1998/01/23","11:00","3.75","-","3.96"
"1998/01/23","12:00","4.418","-","4.69"
"1998/01/23","13:00","4.963","-","5.29"
"1998/01/23","14:00","5.239","-","5.6"
"1998/01/23","15:00","5.146","-","5.44"
"1998/01/23","16:00","4.66","-","4.97"
"1998/01/23","17:00","3.844","-","4.2"
"1998/01/23","18:00","2.835","-","3.16"
"1998/01/23","19:00","1.818","-","2.13"
"1998/01/23","20:00","0.984","-","1.29"
"1998/01/23","21:00","0.483","-","0.75"
"1998/01/23","22:00","0.39","-","0.53"
"1998/01/23","23:00","0.685","-","0.95"
"1998/01/24","00:00","1.265","-","1.6"
"1998/01/24","01:00","1.97","-","2.38"
"1998/01/24","02:00","2.631","-","2.81"
"1998/01/24","03:00","3.105","-","3.4"
"1998/01/24","04:00","3.315","-","3.7"
"1998/01/24","05:00","3.261","-","3.48"
"1998/01/24","06:00","3.021","-","3.24"
"1998/01/24","07:00","2.724","-","2.87"
"1998/01/24","08:00","2.52","-","2.71"
"1998/01/24","09:00","2.532","-","2.66"
"1998/01/24","10:00","2.825","-","3.07"
"1998/01/24","11:00","3.38","-","3.54"
"1998/01/24","12:00","4.096","-","4.28"
"1998/01/24","13:00","4.813","-","5"
"1998/01/24","14:00","5.346","-","5.6"
"1998/01/24","15:00","5.537","-","5.91"
"1998/01/24","16:00","5.287","-","5.65"
"1998/01/24","17:00","4.596","-","4.87"
"1998/01/24","18:00","3.56","-","3.71"
"1998/01/24","19:00","2.36","-","2.56"
"1998/01/24","20:00","1.221","-","1.58"
"1998/01/24","21:00","0.358","-","0.62"
"1998/01/24","22:00","-0.074","-","0.28"
"1998/01/24","23:00","-0.018","-","0.32"
"1998/01/25","00:00","0.473","-","0.78"
"1998/01/25","01:00","1.253","-","1.65"
"1998/01/25","02:00","2.124","-","2.48"
"1998/01/25","03:00","2.885","-","3.19"
"1998/01/25","04:00","3.384","-","3.59"
"1998/01/25","05:00","3.549","-","3.89"
"1998/01/25","06:00","3.409","-","3.76"
"1998/01/25","07:00","3.077","-","3.31"
"1998/01/25","08:00","2.718","-","3.04"
"1998/01/25","09:00","2.506","-","2.75"
"1998/01/25","10:00","2.571","-","2.88"
"1998/01/25","11:00","2.963","-","3.39"
"1998/01/25","12:00","3.637","-","3.97"
"1998/01/25","13:00","4.455","-","4.75"
"1998/01/25","14:00","5.218","-","5.6"
"1998/01/25","15:00","5.716","-","6.05"
"1998/01/25","16:00","5.782","-","5.99"
"1998/01/25","17:00","5.335","-","5.65"
"1998/01/25","18:00","4.409","-","4.84"
"1998/01/25","19:00","3.149","-","3.49"
"1998/01/25","20:00","1.786","-","2.15"
"1998/01/25","21:00","0.579","-","0.83"
"1998/01/25","22:00","-0.244","-","-0.04"
"1998/01/25","23:00","-0.538","-","-0.13"
"1998/01/26","00:00","-0.276","-","-0.11"
"1998/01/26","01:00","0.442","-","0.74"
"1998/01/26","02:00","1.424","-","1.58"
"1998/01/26","03:00","2.43","-","2.73"
"1998/01/26","04:00","3.234","-","3.54"
"1998/01/26","05:00","3.687","-","4.02"
"1998/01/26","06:00","3.742","-","4"
"1998/01/26","07:00","3.47","-","3.78"
"1998/01/26","08:00","3.026","-","3.27"
"1998/01/26","09:00","2.613","-","2.84"
"1998/01/26","10:00","2.418","-","2.76"
"1998/01/26","11:00","2.567","-","2.86"
"1998/01/26","12:00","3.088","-","3.42"
"1998/01/26","13:00","3.896","-","4.3"
"1998/01/26","14:00","4.81","-","5.29"
"1998/01/26","15:00","5.595","-","6.09"
"1998/01/26","16:00","6.02","-","6.46"
"1998/01/26","17:00","5.922","-","6.42"
"1998/01/26","18:00","5.252","-","5.7"
"1998/01/26","19:00","4.092","-","4.55"
"1998/01/26","20:00","2.642","-","3.04"
"1998/01/26","21:00","1.174","-","1.68"
"1998/01/26","22:00","-0.03","-","0.44"
"1998/01/26","23:00","-0.741","-","-0.28"
"1998/01/27","00:00","-0.838","-","-0.45"
"1998/01/27","01:00","-0.339","-","-0.03"
"1998/01/27","02:00","0.61","-","1.07"
"1998/01/27","03:00","1.762","-","2.25"
"1998/01/27","04:00","2.843","-","3.25"
"1998/01/27","05:00","3.619","-","4.1"
"1998/01/27","06:00","3.959","-","4.46"
"1998/01/27","07:00","3.858","-","4.34"
"1998/01/27","08:00","3.434","-","3.94"
"1998/01/27","09:00","2.886","-","3.2"
"1998/01/27","10:00","2.44","-","2.92"
"1998/01/27","11:00","2.29","-","2.91"
"1998/01/27","12:00","2.546","-","2.94"
"1998/01/27","13:00","3.203","-","3.59"
"1998/01/27","14:00","4.136","-","4.58"
"1998/01/27","15:00","5.118","-","5.55"
"1998/01/27","16:00","5.884","-","6.27"
"1998/01/27","17:00","6.194","-","6.79"
"1998/01/27","18:00","5.909","-","6.44"
"1998/01/27","19:00","5.02","-","5.51"
"1998/01/27","20:00","3.666","-","4.2"
"1998/01/27","21:00","2.092","-","2.57"
"1998/01/27","22:00","0.599","-","1.08"
"1998/01/27","23:00","-0.522","-","0"
"1998/01/28","00:00","-1.058","-","-0.45"
"1998/01/28","01:00","-0.922","-","-0.37"
"1998/01/28","02:00","-0.18","-","0.29"
"1998/01/28","03:00","0.966","-","1.46"
"1998/01/28","04:00","2.227","-","2.77"
"1998/01/28","05:00","3.309","-","3.79"
"1998/01/28","06:00","3.989","-","4.54"
"1998/01/28","07:00","4.168","-","4.7"
"1998/01/28","08:00","3.892","-","4.46"
"1998/01/28","09:00","3.323","-","3.88"
"1998/01/28","10:00","2.691","-","3.32"
"1998/01/28","11:00","2.238","-","2.85"
"1998/01/28","12:00","2.15","-","2.63"
"1998/01/28","13:00","2.516","-","3.11"
"1998/01/28","14:00","3.295","-","3.91"
"1998/01/28","15:00","4.315","-","4.81"
"1998/01/28","16:00","5.317","-","5.85"
"1998/01/28","17:00","6.015","-","6.62"
"1998/01/28","18:00","6.184","-","6.8"
"1998/01/28","19:00","5.716","-","6.33"
"1998/01/28","20:00","4.655","-","5.33"
"1998/01/28","21:00","3.181","-","3.92"
"1998/01/28","22:00","1.574","-","2.36"
"1998/01/28","23:00","0.145","-","0.84"
"1998/01/29","00:00","-0.82","-","-0.11"
"1998/01/29","01:00","-1.137","-","-0.34"
"1998/01/29","02:00","-0.76","-","-0.05"
"1998/01/29","03:00","0.193","-","0.9"
"1998/01/29","04:00","1.474","-","2.29"
"1998/01/29","05:00","2.767","-","3.6"
"1998/01/29","06:00","3.777","-","4.59"
"1998/01/29","07:00","4.308","-","5.28"
"1998/01/29","08:00","4.306","-","5.26"
"1998/01/29","09:00","3.862","-","4.8"
"1998/01/29","10:00","3.17","-","4.13"
