"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"1998/12/28","00:00","3.058","-","2.68"
"1998/12/28","01:00","3.424","-","2.97"
"1998/12/28","02:00","3.485","-","2.96"
"1998/12/28","03:00","3.229","-","2.64"
"1998/12/28","04:00","2.731","-","2.12"
"1998/12/28","05:00","2.138","-","1.58"
"1998/12/28","06:00","1.63","-","0.98"
"1998/12/28","07:00","1.38","-","0.64"
"1998/12/28","08:00","1.507","-","0.87"
"1998/12/28","09:00","2.042","-","1.31"
"1998/12/28","10:00","2.907","-","2.23"
"1998/12/28","11:00","3.929","-","3.36"
"1998/12/28","12:00","4.88","-","4.31"
"1998/12/28","13:00","5.54","-","4.9"
"1998/12/28","14:00","5.748","-","5.07"
"1998/12/28","15:00","5.447","-","4.74"
"1998/12/28","16:00","4.69","-","4.13"
"1998/12/28","17:00","3.626","-","3.06"
"1998/12/28","18:00","2.466","-","1.88"
"1998/12/28","19:00","1.437","-","0.92"
"1998/12/28","20:00","0.736","-","0.19"
"1998/12/28","21:00","0.483","-","0.04"
"1998/12/28","22:00","0.696","-","0.26"
"1998/12/28","23:00","1.281","-","0.8"
"1998/12/29","00:00","2.061","-","1.58"
"1998/12/29","01:00","2.821","-","2.35"
"1998/12/29","02:00","3.366","-","2.82"
"1998/12/29","03:00","3.573","-","3.01"
"1998/12/29","04:00","3.419","-","2.76"
"1998/12/29","05:00","2.98","-","2.37"
"1998/12/29","06:00","2.414","-","1.78"
"1998/12/29","07:00","1.921","-","1.16"
"1998/12/29","08:00","1.694","-","1.03"
"1998/12/29","09:00","1.863","-","1.33"
"1998/12/29","10:00","2.457","-","1.96"
"1998/12/29","11:00","3.386","-","2.82"
"1998/12/29","12:00","4.455","-","3.9"
"1998/12/29","13:00","5.414","-","4.79"
"1998/12/29","14:00","6.023","-","5.4"
"1998/12/29","15:00","6.113","-","5.5"
"1998/12/29","16:00","5.631","-","4.99"
"1998/12/29","17:00","4.648","-","4.06"
"1998/12/29","18:00","3.345","-","2.8"
"1998/12/29","19:00","1.97","-","1.5"
"1998/12/29","20:00","0.784","-","0.51"
"1998/12/29","21:00","0.01","-","-0.45"
"1998/12/29","22:00","-0.223","-","-0.65"
"1998/12/29","23:00","0.092","-","-0.32"
"1998/12/30","00:00","0.839","-","0.46"
"1998/12/30","01:00","1.807","-","1.51"
"1998/12/30","02:00","2.748","-","2.35"
"1998/12/30","03:00","3.441","-","2.98"
"1998/12/30","04:00","3.745","-","3.17"
"1998/12/30","05:00","3.637","-","3"
"1998/12/30","06:00","3.206","-","2.67"
"1998/12/30","07:00","2.633","-","2.03"
"1998/12/30","08:00","2.141","-","1.74"
"1998/12/30","09:00","1.939","-","1.52"
"1998/12/30","10:00","2.162","-","1.63"
"1998/12/30","11:00","2.828","-","2.48"
"1998/12/30","12:00","3.825","-","3.47"
"1998/12/30","13:00","4.934","-","4.58"
"1998/12/30","14:00","5.882","-","5.51"
"1998/12/30","15:00","6.414","-","6.07"
"1998/12/30","16:00","6.36","-","5.98"
"1998/12/30","17:00","5.679","-","5.5"
"1998/12/30","18:00","4.473","-","4.17"
"1998/12/30","19:00","2.957","-","2.75"
"1998/12/30","20:00","1.418","-","1.12"
"1998/12/30","21:00","0.145","-","0.07"
"1998/12/30","22:00","-0.628","-","-0.77"
"1998/12/30","23:00","-0.778","-","-0.92"
"1998/12/31","00:00","-0.318","-","-0.54"
"1998/12/31","01:00","0.606","-","0.42"
"1998/12/31","02:00","1.749","-","1.61"
"1998/12/31","03:00","2.831","-","2.51"
"1998/12/31","04:00","3.612","-","3.18"
"1998/12/31","05:00","3.948","-","3.55"
"1998/12/31","06:00","3.829","-","3.39"
"1998/12/31","07:00","3.367","-","3.02"
"1998/12/31","08:00","2.771","-","2.55"
"1998/12/31","09:00","2.283","-","1.99"
"1998/12/31","10:00","2.119","-","1.91"
"1998/12/31","11:00","2.405","-","2.14"
"1998/12/31","12:00","3.144","-","2.82"
