"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/12/17","00:00","0.169","-","-0.06"
"2020/12/17","01:00","-0.901","-","-1.34"
"2020/12/17","02:00","-1.362","-","-1.6"
"2020/12/17","03:00","-1.152","-","-1.39"
"2020/12/17","04:00","-0.36","-","-0.55"
"2020/12/17","05:00","0.805","-","0.67"
"2020/12/17","06:00","2.065","-","2.12"
"2020/12/17","07:00","3.155","-","3.04"
"2020/12/17","08:00","3.882","-","3.8"
"2020/12/17","09:00","4.174","-","4.12"
"2020/12/17","10:00","4.073","-","4.24"
"2020/12/17","11:00","3.716","-","3.67"
"2020/12/17","12:00","3.296","-","3.39"
"2020/12/17","13:00","3.01","-","3.16"
"2020/12/17","14:00","3.01","-","3.16"
"2020/12/17","15:00","3.361","-","3.43"
"2020/12/17","16:00","4.015","-","4.14"
"2020/12/17","17:00","4.818","-","4.84"
"2020/12/17","18:00","5.548","-","5.65"
"2020/12/17","19:00","5.978","-","6.01"
"2020/12/17","20:00","5.936","-","6.06"
"2020/12/17","21:00","5.356","-","5.39"
"2020/12/17","22:00","4.289","-","4.21"
"2020/12/17","23:00","2.897","-","2.87"
"2020/12/18","00:00","1.42","-","1.37"
"2020/12/18","01:00","0.126","-","0.03"
"2020/12/18","02:00","-0.748","-","-0.87"
"2020/12/18","03:00","-1.046","-","-1.17"
"2020/12/18","04:00","-0.739","-","-0.9"
"2020/12/18","05:00","0.074","-","-0.03"
"2020/12/18","06:00","1.187","-","1.09"
"2020/12/18","07:00","2.35","-","2.22"
"2020/12/18","08:00","3.331","-","3.27"
"2020/12/18","09:00","3.97","-","3.84"
"2020/12/18","10:00","4.209","-","4.13"
"2020/12/18","11:00","4.093","-","3.9"
"2020/12/18","12:00","3.752","-","3.56"
"2020/12/18","13:00","3.36","-","3.26"
"2020/12/18","14:00","3.094","-","2.91"
"2020/12/18","15:00","3.084","-","2.86"
"2020/12/18","16:00","3.378","-","3.23"
"2020/12/18","17:00","3.922","-","3.81"
"2020/12/18","18:00","4.575","-","4.32"
"2020/12/18","19:00","5.147","-","5.12"
"2020/12/18","20:00","5.448","-","5.32"
"2020/12/18","21:00","5.342","-","5.2"
"2020/12/18","22:00","4.776","-","4.49"
"2020/12/18","23:00","3.805","-","3.49"
"2020/12/19","00:00","2.576","-","2.27"
"2020/12/19","01:00","1.305","-","0.98"
"2020/12/19","02:00","0.228","-","-0.06"
"2020/12/19","03:00","-0.449","-","-0.84"
"2020/12/19","04:00","-0.608","-","-0.95"
"2020/12/19","05:00","-0.238","-","-0.58"
"2020/12/19","06:00","0.558","-","0.29"
"2020/12/19","07:00","1.595","-","1.39"
"2020/12/19","08:00","2.652","-","2.36"
"2020/12/19","09:00","3.529","-","3.22"
"2020/12/19","10:00","4.087","-","3.89"
"2020/12/19","11:00","4.277","-","4.01"
"2020/12/19","12:00","4.142","-","3.83"
"2020/12/19","13:00","3.8","-","3.52"
"2020/12/19","14:00","3.411","-","3.12"
"2020/12/19","15:00","3.13","-","2.88"
"2020/12/19","16:00","3.07","-","2.75"
"2020/12/19","17:00","3.266","-","2.98"
"2020/12/19","18:00","3.673","-","3.41"
"2020/12/19","19:00","4.175","-","3.97"
"2020/12/19","20:00","4.615","-","4.33"
"2020/12/19","21:00","4.837","-","4.56"
"2020/12/19","22:00","4.722","-","4.36"
"2020/12/19","23:00","4.227","-","3.87"
"2020/12/20","00:00","3.396","-","3.04"
