"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2000/12/26","00:00","-0.426","-","-0.81"
"2000/12/26","01:00","-0.621","-","-1"
"2000/12/26","02:00","-0.268","-","-0.62"
"2000/12/26","03:00","0.522","-","0"
"2000/12/26","04:00","1.548","-","1.22"
"2000/12/26","05:00","2.566","-","2.24"
"2000/12/26","06:00","3.366","-","3.03"
"2000/12/26","07:00","3.816","-","3.36"
"2000/12/26","08:00","3.897","-","3.51"
"2000/12/26","09:00","3.689","-","3.4"
"2000/12/26","10:00","3.344","-","2.97"
"2000/12/26","11:00","3.036","-","2.66"
"2000/12/26","12:00","2.921","-","2.61"
"2000/12/26","13:00","3.096","-","2.84"
"2000/12/26","14:00","3.571","-","3.27"
"2000/12/26","15:00","4.257","-","3.98"
"2000/12/26","16:00","4.983","-","4.75"
"2000/12/26","17:00","5.54","-","5.32"
"2000/12/26","18:00","5.734","-","5.48"
"2000/12/26","19:00","5.45","-","5.22"
"2000/12/26","20:00","4.681","-","4.43"
"2000/12/26","21:00","3.535","-","3.26"
"2000/12/26","22:00","2.209","-","1.77"
"2000/12/26","23:00","0.943","-","0.45"
"2000/12/27","00:00","-0.03","-","-0.48"
"2000/12/27","01:00","-0.534","-","-1.03"
"2000/12/27","02:00","-0.494","-","-1.02"
"2000/12/27","03:00","0.05","-","-0.47"
"2000/12/27","04:00","0.948","-","0.47"
"2000/12/27","05:00","1.98","-","1.54"
"2000/12/27","06:00","2.917","-","2.4"
"2000/12/27","07:00","3.581","-","3.08"
"2000/12/27","08:00","3.888","-","3.5"
"2000/12/27","09:00","3.859","-","3.47"
"2000/12/27","10:00","3.599","-","3.21"
"2000/12/27","11:00","3.267","-","2.83"
"2000/12/27","12:00","3.029","-","2.66"
"2000/12/27","13:00","3.015","-","2.62"
"2000/12/27","14:00","3.288","-","2.97"
"2000/12/27","15:00","3.819","-","3.52"
"2000/12/27","16:00","4.489","-","4.23"
"2000/12/27","17:00","5.114","-","4.76"
"2000/12/27","18:00","5.499","-","5.19"
"2000/12/27","19:00","5.489","-","5.31"
"2000/12/27","20:00","5.017","-","4.7"
"2000/12/27","21:00","4.12","-","3.8"
"2000/12/27","22:00","2.936","-","2.62"
"2000/12/27","23:00","1.67","-","1.37"
"2000/12/28","00:00","0.553","-","0.32"
"2000/12/28","01:00","-0.208","-","-0.6"
"2000/12/28","02:00","-0.476","-","-0.87"
"2000/12/28","03:00","-0.224","-","-0.57"
"2000/12/28","04:00","0.465","-","-0.06"
"2000/12/28","05:00","1.411","-","1.03"
"2000/12/28","06:00","2.396","-","1.89"
"2000/12/28","07:00","3.217","-","2.78"
"2000/12/28","08:00","3.737","-","3.41"
"2000/12/28","09:00","3.915","-","3.52"
"2000/12/28","10:00","3.799","-","3.38"
"2000/12/28","11:00","3.511","-","3.09"
"2000/12/28","12:00","3.208","-","2.98"
"2000/12/28","13:00","3.04","-","2.81"
"2000/12/28","14:00","3.112","-","2.92"
"2000/12/28","15:00","3.451","-","3.27"
"2000/12/28","16:00","3.994","-","3.87"
"2000/12/28","17:00","4.601","-","4.46"
"2000/12/28","18:00","5.093","-","4.97"
"2000/12/28","19:00","5.302","-","5.11"
"2000/12/28","20:00","5.117","-","4.98"
"2000/12/28","21:00","4.512","-","4.3"
"2000/12/28","22:00","3.556","-","3.36"
"2000/12/28","23:00","2.4","-","2.13"
"2000/12/29","00:00","1.249","-","0.98"
"2000/12/29","01:00","0.318","-","0.08"
"2000/12/29","02:00","-0.219","-","-0.57"
"2000/12/29","03:00","-0.268","-","-0.55"
"2000/12/29","04:00","0.154","-","-0.16"
"2000/12/29","05:00","0.929","-","0.65"
"2000/12/29","06:00","1.871","-","1.56"
"2000/12/29","07:00","2.773","-","2.44"
