"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/12/07","00:00","0.809","-","0.43"
"2011/12/07","01:00","1.484","-","1.12"
"2011/12/07","02:00","2.253","-","1.84"
"2011/12/07","03:00","2.935","-","2.52"
"2011/12/07","04:00","3.383","-","3.01"
"2011/12/07","05:00","3.526","-","3.14"
"2011/12/07","06:00","3.387","-","2.98"
"2011/12/07","07:00","3.073","-","2.74"
"2011/12/07","08:00","2.738","-","2.4"
"2011/12/07","09:00","2.546","-","2.23"
"2011/12/07","10:00","2.617","-","2.32"
"2011/12/07","11:00","2.994","-","2.72"
"2011/12/07","12:00","3.629","-","3.36"
"2011/12/07","13:00","4.389","-","4.06"
"2011/12/07","14:00","5.088","-","4.83"
"2011/12/07","15:00","5.535","-","5.26"
"2011/12/07","16:00","5.58","-","5.32"
"2011/12/07","17:00","5.164","-","4.91"
"2011/12/07","18:00","4.329","-","4.1"
"2011/12/07","19:00","3.216","-","3.01"
"2011/12/07","20:00","2.029","-","1.79"
"2011/12/07","21:00","0.987","-","0.67"
"2011/12/07","22:00","0.276","-","-0.02"
"2011/12/07","23:00","0.012","-","-0.31"
"2011/12/08","00:00","0.211","-","-0.11"
"2011/12/08","01:00","0.796","-","0.49"
"2011/12/08","02:00","1.609","-","1.27"
"2011/12/08","03:00","2.455","-","2.16"
"2011/12/08","04:00","3.144","-","2.85"
"2011/12/08","05:00","3.548","-","3.24"
"2011/12/08","06:00","3.624","-","3.32"
"2011/12/08","07:00","3.431","-","3.15"
"2011/12/08","08:00","3.103","-","2.9"
"2011/12/08","09:00","2.811","-","2.6"
"2011/12/08","10:00","2.712","-","2.55"
"2011/12/08","11:00","2.903","-","2.73"
"2011/12/08","12:00","3.395","-","3.21"
"2011/12/08","13:00","4.102","-","3.94"
"2011/12/08","14:00","4.863","-","4.67"
"2011/12/08","15:00","5.474","-","5.29"
"2011/12/08","16:00","5.75","-","5.62"
"2011/12/08","17:00","5.567","-","5.44"
"2011/12/08","18:00","4.907","-","4.73"
"2011/12/08","19:00","3.86","-","3.73"
"2011/12/08","20:00","2.609","-","2.39"
"2011/12/08","21:00","1.383","-","1.17"
"2011/12/08","22:00","0.404","-","0.22"
"2011/12/08","23:00","-0.157","-","-0.38"
"2011/12/09","00:00","-0.223","-","-0.44"
"2011/12/09","01:00","0.183","-","-0.04"
"2011/12/09","02:00","0.941","-","0.69"
"2011/12/09","03:00","1.861","-","1.61"
"2011/12/09","04:00","2.732","-","2.47"
"2011/12/09","05:00","3.376","-","3.13"
"2011/12/09","06:00","3.689","-","3.44"
"2011/12/09","07:00","3.672","-","3.47"
"2011/12/09","08:00","3.418","-","3.2"
"2011/12/09","09:00","3.088","-","2.9"
"2011/12/09","10:00","2.856","-","2.66"
"2011/12/09","11:00","2.864","-","2.73"
"2011/12/09","12:00","3.181","-","3.09"
"2011/12/09","13:00","3.779","-","3.65"
"2011/12/09","14:00","4.536","-","4.41"
"2011/12/09","15:00","5.263","-","5.12"
"2011/12/09","16:00","5.749","-","5.64"
"2011/12/09","17:00","5.823","-","5.74"
"2011/12/09","18:00","5.4","-","5.24"
"2011/12/09","19:00","4.512","-","4.35"
"2011/12/09","20:00","3.296","-","3.17"
"2011/12/09","21:00","1.97","-","1.78"
"2011/12/09","22:00","0.773","-","0.54"
"2011/12/09","23:00","-0.08","-","-0.13"
"2011/12/10","00:00","-0.451","-","-0.74"
"2011/12/10","01:00","-0.298","-","-0.41"
"2011/12/10","02:00","0.309","-","0.06"
"2011/12/10","03:00","1.208","-","1.08"
"2011/12/10","04:00","2.186","-","2"
"2011/12/10","05:00","3.029","-","2.9"
"2011/12/10","06:00","3.58","-","3.43"
"2011/12/10","07:00","3.777","-","3.57"
"2011/12/10","08:00","3.662","-","3.51"
"2011/12/10","09:00","3.363","-","3.28"
"2011/12/10","10:00","3.051","-","3.05"
"2011/12/10","11:00","2.897","-","2.8"
"2011/12/10","12:00","3.021","-","2.97"
"2011/12/10","13:00","3.457","-","3.45"
"2011/12/10","14:00","4.14","-","4.11"
"2011/12/10","15:00","4.911","-","4.84"
"2011/12/10","16:00","5.562","-","5.47"
"2011/12/10","17:00","5.885","-","5.81"
"2011/12/10","18:00","5.74","-","5.72"
"2011/12/10","19:00","5.088","-","4.93"
"2011/12/10","20:00","4.011","-","3.89"
"2011/12/10","21:00","2.689","-","2.5"
"2011/12/10","22:00","1.355","-","1.19"
"2011/12/10","23:00","0.25","-","0.22"
"2011/12/11","00:00","-0.433","-","-0.62"
"2011/12/11","01:00","-0.588","-","-0.69"
"2011/12/11","02:00","-0.218","-","-0.36"
"2011/12/11","03:00","0.562","-","0.48"
"2011/12/11","04:00","1.555","-","1.48"
"2011/12/11","05:00","2.535","-","2.44"
"2011/12/11","06:00","3.301","-","3.24"
"2011/12/11","07:00","3.733","-","3.59"
"2011/12/11","08:00","3.811","-","3.68"
"2011/12/11","09:00","3.613","-","3.56"
"2011/12/11","10:00","3.29","-","3.38"
"2011/12/11","11:00","3.017","-","3.02"
"2011/12/11","12:00","2.952","-","3.03"
"2011/12/11","13:00","3.188","-","3.28"
"2011/12/11","14:00","3.724","-","3.8"
"2011/12/11","15:00","4.455","-","4.54"
"2011/12/11","16:00","5.195","-","5.24"
"2011/12/11","17:00","5.727","-","5.83"
"2011/12/11","18:00","5.864","-","5.87"
"2011/12/11","19:00","5.503","-","5.55"
"2011/12/11","20:00","4.658","-","4.81"
"2011/12/11","21:00","3.452","-","3.6"
"2011/12/11","22:00","2.09","-","2.21"
"2011/12/11","23:00","0.814","-","0.88"
"2011/12/12","00:00","-0.148","-","-0.04"
"2011/12/12","01:00","-0.629","-","-0.39"
"2011/12/12","02:00","-0.563","-","-0.43"
"2011/12/12","03:00","0.002","-","0.14"
"2011/12/12","04:00","0.911","-","1.14"
"2011/12/12","05:00","1.944","-","2.19"
"2011/12/12","06:00","2.876","-","3.12"
"2011/12/12","07:00","3.536","-","3.71"
"2011/12/12","08:00","3.841","-","4.05"
"2011/12/12","09:00","3.811","-","4.07"
"2011/12/12","10:00","3.552","-","3.77"
"2011/12/12","11:00","3.224","-","3.4"
"2011/12/12","12:00","3","-","3.23"
"2011/12/12","13:00","3.02","-","3.28"
"2011/12/12","14:00","3.348","-","3.73"
"2011/12/12","15:00","3.948","-","4.29"
"2011/12/12","16:00","4.681","-","5.06"
"2011/12/12","17:00","5.345","-","5.78"
"2011/12/12","18:00","5.729","-","6.02"
"2011/12/12","19:00","5.678","-","6.05"
"2011/12/12","20:00","5.134","-","5.53"
"2011/12/12","21:00","4.153","-","4.53"
"2011/12/12","22:00","2.888","-","3.25"
"2011/12/12","23:00","1.556","-","1.89"
"2011/12/13","00:00","0.395","-","0.75"
"2011/12/13","01:00","-0.386","-","0.09"
"2011/12/13","02:00","-0.652","-","-0.27"
"2011/12/13","03:00","-0.379","-","-0.05"
"2011/12/13","04:00","0.343","-","0.69"
"2011/12/13","05:00","1.328","-","1.73"
"2011/12/13","06:00","2.351","-","2.61"
"2011/12/13","07:00","3.203","-","3.54"
"2011/12/13","08:00","3.745","-","4.14"
"2011/12/13","09:00","3.93","-","4.25"
"2011/12/13","10:00","3.808","-","4.02"
"2011/12/13","11:00","3.501","-","3.7"
"2011/12/13","12:00","3.174","-","3.35"
"2011/12/13","13:00","2.992","-","3.12"
"2011/12/13","14:00","3.076","-","3.21"
"2011/12/13","15:00","3.46","-","3.55"
"2011/12/13","16:00","4.076","-","4.15"
"2011/12/13","17:00","4.763","-","4.91"
"2011/12/13","18:00","5.317","-","5.46"
"2011/12/13","19:00","5.55","-","5.68"
"2011/12/13","20:00","5.342","-","5.44"
"2011/12/13","21:00","4.675","-","4.83"
"2011/12/13","22:00","3.631","-","3.74"
"2011/12/13","23:00","2.38","-","2.44"
"2011/12/14","00:00","1.142","-","1.35"
"2011/12/14","01:00","0.142","-","0.28"
"2011/12/14","02:00","-0.437","-","-0.28"
"2011/12/14","03:00","-0.495","-","-0.36"
