"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2015/12/17","00:00","3.218","-","3.52"
"2015/12/17","01:00","2.202","-","2.52"
"2015/12/17","02:00","1.203","-","1.41"
"2015/12/17","03:00","0.427","-","0.83"
"2015/12/17","04:00","0.04","-","0.24"
"2015/12/17","05:00","0.127","-","0.3"
"2015/12/17","06:00","0.669","-","0.9"
"2015/12/17","07:00","1.548","-","1.75"
"2015/12/17","08:00","2.574","-","2.77"
"2015/12/17","09:00","3.536","-","3.79"
"2015/12/17","10:00","4.248","-","4.52"
"2015/12/17","11:00","4.595","-","4.89"
"2015/12/17","12:00","4.551","-","4.89"
"2015/12/17","13:00","4.185","-","4.45"
"2015/12/17","14:00","3.635","-","3.91"
"2015/12/17","15:00","3.074","-","3.45"
"2015/12/17","16:00","2.66","-","2.92"
"2015/12/17","17:00","2.504","-","2.79"
"2015/12/17","18:00","2.635","-","2.88"
"2015/12/17","19:00","3.004","-","3.22"
"2015/12/17","20:00","3.491","-","3.78"
"2015/12/17","21:00","3.938","-","4.24"
"2015/12/17","22:00","4.192","-","4.5"
"2015/12/17","23:00","4.139","-","4.39"
"2015/12/18","00:00","3.742","-","3.95"
"2015/12/18","01:00","3.049","-","3.42"
"2015/12/18","02:00","2.19","-","2.49"
"2015/12/18","03:00","1.345","-","1.56"
"2015/12/18","04:00","0.702","-","0.92"
"2015/12/18","05:00","0.417","-","0.66"
"2015/12/18","06:00","0.568","-","0.85"
"2015/12/18","07:00","1.141","-","1.41"
"2015/12/18","08:00","2.026","-","2.3"
"2015/12/18","09:00","3.042","-","3.38"
"2015/12/18","10:00","3.98","-","4.33"
"2015/12/18","11:00","4.651","-","5.03"
"2015/12/18","12:00","4.936","-","5.34"
"2015/12/18","13:00","4.806","-","5.29"
"2015/12/18","14:00","4.331","-","4.8"
"2015/12/18","15:00","3.65","-","4.03"
"2015/12/18","16:00","2.942","-","3.36"
"2015/12/18","17:00","2.372","-","2.83"
"2015/12/18","18:00","2.066","-","2.54"
"2015/12/18","19:00","2.074","-","2.5"
"2015/12/18","20:00","2.368","-","2.84"
"2015/12/18","21:00","2.842","-","3.32"
"2015/12/18","22:00","3.341","-","3.9"
"2015/12/18","23:00","3.7","-","4.2"
"2015/12/19","00:00","3.79","-","4.36"
"2015/12/19","01:00","3.555","-","4.21"
"2015/12/19","02:00","3.028","-","3.58"
"2015/12/19","03:00","2.321","-","2.85"
"2015/12/19","04:00","1.603","-","2.18"
"2015/12/19","05:00","1.056","-","1.49"
"2015/12/19","06:00","0.833","-","1.25"
"2015/12/19","07:00","1.022","-","1.39"
"2015/12/19","08:00","1.617","-","2.03"
"2015/12/19","09:00","2.517","-","3.01"
"2015/12/19","10:00","3.54","-","4.11"
"2015/12/19","11:00","4.468","-","5.03"
"2015/12/19","12:00","5.102","-","5.67"
"2015/12/19","13:00","5.313","-","5.96"
"2015/12/19","14:00","5.072","-","5.78"
"2015/12/19","15:00","4.448","-","5.08"
"2015/12/19","16:00","3.591","-","4.16"
"2015/12/19","17:00","2.689","-","3.29"
"2015/12/19","18:00","1.933","-","2.53"
"2015/12/19","19:00","1.471","-","2.02"
"2015/12/19","20:00","1.382","-","1.95"
"2015/12/19","21:00","1.651","-","2.19"
"2015/12/19","22:00","2.176","-","2.75"
"2015/12/19","23:00","2.788","-","3.54"
"2015/12/20","00:00","3.304","-","4.07"
"2015/12/20","01:00","3.569","-","4.15"
"2015/12/20","02:00","3.507","-","4.03"
"2015/12/20","03:00","3.132","-","3.66"
"2015/12/20","04:00","2.547","-","2.97"
"2015/12/20","05:00","1.915","-","2.31"
"2015/12/20","06:00","1.423","-","1.79"
"2015/12/20","07:00","1.236","-","1.52"
"2015/12/20","08:00","1.454","-","1.59"
"2015/12/20","09:00","2.081","-","2.19"
"2015/12/20","10:00","3.013","-","3.33"
"2015/12/20","11:00","4.057","-","4.33"
"2015/12/20","12:00","4.979","-","5.26"
"2015/12/20","13:00","5.567","-","5.91"
"2015/12/20","14:00","5.683","-","5.98"
"2015/12/20","15:00","5.297","-","5.5"
"2015/12/20","16:00","4.488","-","4.77"
"2015/12/20","17:00","3.419","-","3.67"
"2015/12/20","18:00","2.306","-","2.69"
"2015/12/20","19:00","1.368","-","1.73"
"2015/12/20","20:00","0.784","-","1.04"
"2015/12/20","21:00","0.651","-","1.05"
"2015/12/20","22:00","0.959","-","1.14"
"2015/12/20","23:00","1.592","-","1.83"
"2015/12/21","00:00","2.362","-","2.79"
"2015/12/21","01:00","3.056","-","3.43"
"2015/12/21","02:00","3.494","-","3.84"
"2015/12/21","03:00","3.58","-","3.97"
"2015/12/21","04:00","3.316","-","3.49"
"2015/12/21","05:00","2.804","-","3.14"
"2015/12/21","06:00","2.214","-","2.36"
"2015/12/21","07:00","1.749","-","1.95"
"2015/12/21","08:00","1.589","-","1.86"
"2015/12/21","09:00","1.846","-","2.1"
"2015/12/21","10:00","2.521","-","2.72"
"2015/12/21","11:00","3.498","-","3.83"
"2015/12/21","12:00","4.566","-","5.01"
"2015/12/21","13:00","5.474","-","5.82"
"2015/12/21","14:00","5.996","-","6.31"
"2015/12/21","15:00","5.988","-","6.36"
"2015/12/21","16:00","5.427","-","5.84"
"2015/12/21","17:00","4.407","-","4.79"
"2015/12/21","18:00","3.12","-","3.54"
"2015/12/21","19:00","1.813","-","2.16"
"2015/12/21","20:00","0.738","-","1.24"
"2015/12/21","21:00","0.095","-","0.52"
"2015/12/21","22:00","-0.014","-","0.41"
"2015/12/21","23:00","0.392","-","0.84"
"2015/12/22","00:00","1.175","-","1.64"
"2015/12/22","01:00","2.117","-","2.57"
"2015/12/22","02:00","2.976","-","3.54"
"2015/12/22","03:00","3.552","-","4.06"
"2015/12/22","04:00","3.734","-","4.22"
"2015/12/22","05:00","3.523","-","3.98"
"2015/12/22","06:00","3.033","-","3.52"
"2015/12/22","07:00","2.453","-","2.87"
"2015/12/22","08:00","2.004","-","2.41"
"2015/12/22","09:00","1.879","-","2.39"
"2015/12/22","10:00","2.19","-","2.57"
"2015/12/22","11:00","2.926","-","3.35"
"2015/12/22","12:00","3.951","-","4.56"
"2015/12/22","13:00","5.035","-","5.69"
"2015/12/22","14:00","5.908","-","6.58"
"2015/12/22","15:00","6.333","-","6.89"
"2015/12/22","16:00","6.172","-","6.84"
"2015/12/22","17:00","5.415","-","6.01"
"2015/12/22","18:00","4.184","-","4.72"
"2015/12/22","19:00","2.706","-","3.33"
"2015/12/22","20:00","1.261","-","1.85"
"2015/12/22","21:00","0.122","-","0.57"
"2015/12/22","22:00","-0.504","-","0.03"
"2015/12/22","23:00","-0.523","-","0.12"
"2015/12/23","00:00","0.024","-","0.63"
"2015/12/23","01:00","0.971","-","1.55"
"2015/12/23","02:00","2.069","-","2.66"
"2015/12/23","03:00","3.052","-","3.64"
"2015/12/23","04:00","3.704","-","4.15"
"2015/12/23","05:00","3.914","-","4.31"
"2015/12/23","06:00","3.699","-","4.07"
"2015/12/23","07:00","3.193","-","3.59"
"2015/12/23","08:00","2.609","-","3.04"
"2015/12/23","09:00","2.182","-","2.45"
"2015/12/23","10:00","2.108","-","2.54"
"2015/12/23","11:00","2.485","-","2.84"
"2015/12/23","12:00","3.286","-","3.77"
"2015/12/23","13:00","4.351","-","4.53"
"2015/12/23","14:00","5.427","-","5.81"
"2015/12/23","15:00","6.232","-","6.62"
"2015/12/23","16:00","6.527","-","6.91"
"2015/12/23","17:00","6.189","-","6.55"
"2015/12/23","18:00","5.236","-","5.67"
"2015/12/23","19:00","3.825","-","4.2"
"2015/12/23","20:00","2.216","-","2.64"
"2015/12/23","21:00","0.713","-","1.07"
"2015/12/23","22:00","-0.405","-","-0.13"
"2015/12/23","23:00","-0.939","-","-0.52"
"2015/12/24","00:00","-0.815","-","-0.53"
"2015/12/24","01:00","-0.106","-","0.27"
"2015/12/24","02:00","0.992","-","1.12"
"2015/12/24","03:00","2.202","-","2.62"
"2015/12/24","04:00","3.242","-","3.58"
"2015/12/24","05:00","3.897","-","4.31"
"2015/12/24","06:00","4.072","-","4.32"
"2015/12/24","07:00","3.81","-","4"
"2015/12/24","08:00","3.272","-","3.39"
"2015/12/24","09:00","2.688","-","3.1"
"2015/12/24","10:00","2.298","-","2.52"
"2015/12/24","11:00","2.289","-","2.46"
"2015/12/24","12:00","2.739","-","3.02"
