"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2010/12/12","00:00","3.293","-","3.03"
"2010/12/12","01:00","2.552","-","2.19"
"2010/12/12","02:00","1.76","-","1.44"
"2010/12/12","03:00","1.08","-","0.85"
"2010/12/12","04:00","0.661","-","0.47"
"2010/12/12","05:00","0.593","-","0.41"
"2010/12/12","06:00","0.891","-","0.73"
"2010/12/12","07:00","1.494","-","1.36"
"2010/12/12","08:00","2.281","-","2.19"
"2010/12/12","09:00","3.096","-","3.04"
"2010/12/12","10:00","3.785","-","3.65"
"2010/12/12","11:00","4.226","-","4.04"
"2010/12/12","12:00","4.361","-","4.22"
"2010/12/12","13:00","4.208","-","4.02"
"2010/12/12","14:00","3.849","-","3.69"
"2010/12/12","15:00","3.41","-","3.18"
"2010/12/12","16:00","3.016","-","2.78"
"2010/12/12","17:00","2.766","-","2.48"
"2010/12/12","18:00","2.708","-","2.45"
"2010/12/12","19:00","2.834","-","2.57"
"2010/12/12","20:00","3.087","-","2.77"
"2010/12/12","21:00","3.373","-","3.12"
"2010/12/12","22:00","3.582","-","3.34"
"2010/12/12","23:00","3.618","-","3.33"
"2010/12/13","00:00","3.421","-","3.1"
"2010/12/13","01:00","2.998","-","2.7"
"2010/12/13","02:00","2.422","-","2.15"
"2010/12/13","03:00","1.816","-","1.61"
"2010/12/13","04:00","1.322","-","1.1"
"2010/12/13","05:00","1.061","-","0.93"
"2010/12/13","06:00","1.106","-","1.01"
"2010/12/13","07:00","1.465","-","1.38"
"2010/12/13","08:00","2.078","-","2.1"
"2010/12/13","09:00","2.831","-","2.8"
"2010/12/13","10:00","3.578","-","3.54"
"2010/12/13","11:00","4.173","-","4.12"
"2010/12/13","12:00","4.505","-","4.5"
"2010/12/13","13:00","4.525","-","4.53"
"2010/12/13","14:00","4.259","-","4.12"
"2010/12/13","15:00","3.795","-","3.71"
"2010/12/13","16:00","3.255","-","3.17"
"2010/12/13","17:00","2.766","-","2.71"
"2010/12/13","18:00","2.424","-","2.31"
"2010/12/13","19:00","2.285","-","2.22"
"2010/12/13","20:00","2.352","-","2.25"
"2010/12/13","21:00","2.577","-","2.49"
"2010/12/13","22:00","2.87","-","2.8"
"2010/12/13","23:00","3.125","-","3.05"
"2010/12/14","00:00","3.239","-","3.09"
"2010/12/14","01:00","3.152","-","3.03"
"2010/12/14","02:00","2.865","-","2.68"
"2010/12/14","03:00","2.441","-","2.37"
"2010/12/14","04:00","1.99","-","1.99"
"2010/12/14","05:00","1.637","-","1.73"
"2010/12/14","06:00","1.492","-","1.51"
"2010/12/14","07:00","1.62","-","1.65"
"2010/12/14","08:00","2.027","-","2.08"
"2010/12/14","09:00","2.654","-","2.83"
"2010/12/14","10:00","3.384","-","3.48"
"2010/12/14","11:00","4.071","-","4.14"
"2010/12/14","12:00","4.572","-","4.63"
"2010/12/14","13:00","4.782","-","4.72"
"2010/12/14","14:00","4.664","-","4.73"
"2010/12/14","15:00","4.253","-","4.26"
"2010/12/14","16:00","3.646","-","3.72"
"2010/12/14","17:00","2.973","-","3.02"
"2010/12/14","18:00","2.369","-","2.39"
"2010/12/14","19:00","1.943","-","1.94"
"2010/12/14","20:00","1.758","-","1.85"
"2010/12/14","21:00","1.823","-","1.65"
"2010/12/14","22:00","2.087","-","1.93"
"2010/12/14","23:00","2.452","-","2.19"
"2010/12/15","00:00","2.8","-","2.73"
"2010/12/15","01:00","3.021","-","3.01"
"2010/12/15","02:00","3.05","-","3"
"2010/12/15","03:00","2.881","-","2.77"
"2010/12/15","04:00","2.573","-","2.49"
"2010/12/15","05:00","2.229","-","2.19"
"2010/12/15","06:00","1.972","-","1.92"
"2010/12/15","07:00","1.911","-","1.78"
"2010/12/15","08:00","2.108","-","2.27"
"2010/12/15","09:00","2.567","-","2.52"
"2010/12/15","10:00","3.217","-","3.16"
"2010/12/15","11:00","3.933","-","3.94"
"2010/12/15","12:00","4.561","-","4.57"
"2010/12/15","13:00","4.957","-","4.93"
"2010/12/15","14:00","5.023","-","4.85"
"2010/12/15","15:00","4.736","-","4.65"
"2010/12/15","16:00","4.146","-","4.13"
"2010/12/15","17:00","3.367","-","3.37"
"2010/12/15","18:00","2.547","-","2.48"
"2010/12/15","19:00","1.839","-","1.75"
"2010/12/15","20:00","1.365","-","1.24"
"2010/12/15","21:00","1.193","-","1.09"
"2010/12/15","22:00","1.325","-","1.27"
"2010/12/15","23:00","1.691","-","1.48"
"2010/12/16","00:00","2.176","-","2.04"
"2010/12/16","01:00","2.643","-","2.49"
"2010/12/16","02:00","2.973","-","2.8"
"2010/12/16","03:00","3.095","-","3.04"
"2010/12/16","04:00","3.003","-","2.87"
"2010/12/16","05:00","2.76","-","2.64"
"2010/12/16","06:00","2.475","-","2.43"
"2010/12/16","07:00","2.28","-","2.23"
"2010/12/16","08:00","2.287","-","2.15"
"2010/12/16","09:00","2.556","-","2.55"
"2010/12/16","10:00","3.078","-","2.98"
"2010/12/16","11:00","3.763","-","3.8"
"2010/12/16","12:00","4.468","-","4.45"
"2010/12/16","13:00","5.029","-","5"
"2010/12/16","14:00","5.3","-","5.34"
"2010/12/16","15:00","5.195","-","5.23"
"2010/12/16","16:00","4.707","-","4.78"
"2010/12/16","17:00","3.91","-","3.95"
"2010/12/16","18:00","2.946","-","3.06"
"2010/12/16","19:00","1.99","-","2.04"
"2010/12/16","20:00","1.216","-","1.17"
"2010/12/16","21:00","0.754","-","0.8"
"2010/12/16","22:00","0.664","-","0.69"
"2010/12/16","23:00","0.924","-","1"
"2010/12/17","00:00","1.44","-","1.52"
"2010/12/17","01:00","2.069","-","2.19"
"2010/12/17","02:00","2.654","-","2.7"
"2010/12/17","03:00","3.067","-","3.16"
"2010/12/17","04:00","3.238","-","3.27"
"2010/12/17","05:00","3.169","-","3.19"
"2010/12/17","06:00","2.94","-","3.08"
"2010/12/17","07:00","2.679","-","2.74"
"2010/12/17","08:00","2.53","-","2.64"
"2010/12/17","09:00","2.608","-","2.84"
"2010/12/17","10:00","2.962","-","3.2"
"2010/12/17","11:00","3.559","-","3.71"
