"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2000/01/03","00:00","0.568","-","0.04"
"2000/01/03","01:00","1.261","-","0.76"
"2000/01/03","02:00","2.078","-","1.5"
"2000/01/03","03:00","2.822","-","2.24"
"2000/01/03","04:00","3.333","-","2.69"
"2000/01/03","05:00","3.532","-","2.88"
"2000/01/03","06:00","3.433","-","2.73"
"2000/01/03","07:00","3.132","-","2.33"
"2000/01/03","08:00","2.781","-","1.99"
"2000/01/03","09:00","2.543","-","1.78"
"2000/01/03","10:00","2.549","-","1.79"
"2000/01/03","11:00","2.863","-","2.1"
"2000/01/03","12:00","3.459","-","2.76"
"2000/01/03","13:00","4.222","-","3.46"
"2000/01/03","14:00","4.971","-","4.3"
"2000/01/03","15:00","5.505","-","4.79"
"2000/01/03","16:00","5.652","-","4.93"
"2000/01/03","17:00","5.324","-","4.66"
"2000/01/03","18:00","4.54","-","3.85"
"2000/01/03","19:00","3.424","-","2.74"
"2000/01/03","20:00","2.183","-","1.53"
"2000/01/03","21:00","1.049","-","0.33"
"2000/01/03","22:00","0.234","-","-0.43"
"2000/01/03","23:00","-0.124","-","-0.77"
"2000/01/04","00:00","0.014","-","-0.64"
"2000/01/04","01:00","0.578","-","-0.07"
"2000/01/04","02:00","1.409","-","0.75"
"2000/01/04","03:00","2.301","-","1.67"
"2000/01/04","04:00","3.052","-","2.36"
"2000/01/04","05:00","3.517","-","2.8"
"2000/01/04","06:00","3.646","-","2.89"
"2000/01/04","07:00","3.485","-","2.69"
"2000/01/04","08:00","3.161","-","2.36"
"2000/01/04","09:00","2.84","-","1.98"
"2000/01/04","10:00","2.683","-","1.86"
"2000/01/04","11:00","2.799","-","1.9"
"2000/01/04","12:00","3.221","-","2.5"
"2000/01/04","13:00","3.888","-","3.19"
"2000/01/04","14:00","4.655","-","3.95"
"2000/01/04","15:00","5.325","-","4.53"
"2000/01/04","16:00","5.697","-","4.95"
"2000/01/04","17:00","5.625","-","4.93"
"2000/01/04","18:00","5.058","-","4.38"
"2000/01/04","19:00","4.066","-","3.43"
"2000/01/04","20:00","2.816","-","2.16"
"2000/01/04","21:00","1.541","-","0.88"
"2000/01/04","22:00","0.478","-","-0.21"
"2000/01/04","23:00","-0.179","-","-0.81"
"2000/01/05","00:00","-0.329","-","-0.98"
"2000/01/05","01:00","0.025","-","-0.55"
"2000/01/05","02:00","0.768","-","0.13"
"2000/01/05","03:00","1.707","-","1.14"
"2000/01/05","04:00","2.622","-","2.06"
"2000/01/05","05:00","3.318","-","2.76"
"2000/01/05","06:00","3.682","-","3.08"
"2000/01/05","07:00","3.702","-","3.03"
"2000/01/05","08:00","3.464","-","2.71"
"2000/01/05","09:00","3.123","-","2.45"
"2000/01/05","10:00","2.849","-","2.18"
