"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/12/10","00:00","0.187","-","0.47"
"2022/12/10","01:00","-0.443","-","-0.18"
"2022/12/10","02:00","-0.57","-","-0.41"
"2022/12/10","03:00","-0.202","-","0.06"
"2022/12/10","04:00","0.55","-","0.86"
"2022/12/10","05:00","1.505","-","1.72"
"2022/12/10","06:00","2.452","-","2.63"
"2022/12/10","07:00","3.213","-","3.5"
"2022/12/10","08:00","3.679","-","4.12"
"2022/12/10","09:00","3.831","-","4.22"
"2022/12/10","10:00","3.737","-","4.11"
"2022/12/10","11:00","3.523","-","4.07"
"2022/12/10","12:00","3.339","-","3.87"
"2022/12/10","13:00","3.317","-","3.84"
"2022/12/10","14:00","3.536","-","4.09"
"2022/12/10","15:00","3.99","-","4.64"
"2022/12/10","16:00","4.588","-","5.17"
"2022/12/10","17:00","5.167","-","5.76"
"2022/12/10","18:00","5.545","-","6.19"
"2022/12/10","19:00","5.569","-","6.25"
"2022/12/10","20:00","5.164","-","5.77"
"2022/12/10","21:00","4.349","-","4.98"
"2022/12/10","22:00","3.236","-","3.89"
"2022/12/10","23:00","2.004","-","2.78"
"2022/12/11","00:00","0.863","-","1.63"
"2022/12/11","01:00","0.007","-","0.67"
"2022/12/11","02:00","-0.421","-","0.26"
"2022/12/11","03:00","-0.367","-","0.28"
"2022/12/11","04:00","0.126","-","0.78"
"2022/12/11","05:00","0.924","-","1.64"
"2022/12/11","06:00","1.846","-","2.51"
"2022/12/11","07:00","2.705","-","3.56"
"2022/12/11","08:00","3.356","-","4.03"
"2022/12/11","09:00","3.723","-","4.37"
"2022/12/11","10:00","3.813","-","4.63"
"2022/12/11","11:00","3.7","-","4.49"
"2022/12/11","12:00","3.51","-","4.14"
"2022/12/11","13:00","3.38","-","4.03"
"2022/12/11","14:00","3.421","-","4.22"
"2022/12/11","15:00","3.684","-","4.4"
"2022/12/11","16:00","4.135","-","4.65"
"2022/12/11","17:00","4.667","-","5.35"
"2022/12/11","18:00","5.122","-","5.83"
"2022/12/11","19:00","5.344","-","5.75"
"2022/12/11","20:00","5.217","-","5.65"
