"animalID","MomAnimalID","year","weighingdate","weandate","sex","Wt","source","SL","AG","origtag","CL","region","error"
"4662",NA,1978,1978-02-19,1978-02-17,"F",155.129,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4663",NA,1978,1978-02-19,1978-02-16,"M",142.882,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4664",NA,1978,1978-02-19,1978-02-19,"M",99.7903,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4665",NA,1978,1978-02-20,1978-02-20,"M",65.7709,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4666",NA,1978,1978-02-20,1978-02-20,"F",141.521,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4667",NA,1978,1978-02-21,1978-02-19,"M",53.0703,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4668",NA,1978,1978-03-01,1978-02-25,"M",131.542,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4669",NA,1978,1978-02-22,1978-02-20,"M",147.871,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4670",NA,1978,1978-02-22,1978-02-21,"F",104.326,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4671",NA,1978,1978-02-22,1978-02-20,"M",122.47,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4672",NA,1978,1978-02-22,1978-02-20,"F",145.15,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4674",NA,1978,1978-02-22,1978-02-14,"F",138.346,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4675",NA,1978,1978-02-23,1978-02-21,"F",120.202,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4676",NA,1978,1978-02-23,1978-02-21,"F",136.078,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4677",NA,1978,1978-02-23,1978-02-23,"M",87.0897,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4678",NA,1978,1978-02-23,1978-02-23,"M",172.365,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4679",NA,1978,1978-02-23,1978-02-23,"F",135.624,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4680",NA,1978,1978-02-24,1978-02-22,"F",136.078,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"34852",NA,1978,1978-02-25,1978-02-25,"M",114.759,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4681",NA,1978,1978-02-25,1978-02-21,"M",113.398,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4682",NA,1978,1978-02-25,1978-02-24,"M",99.7903,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4683",NA,1978,1978-02-27,1978-02-26,"M",113.398,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4684",NA,1978,1978-03-02,1978-03-02,"F",138.346,"archive_1979_2021",NA,NA,NA,NA,NA,NA
