"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2014/12/25","00:00","0.867","-","1.39"
"2014/12/25","01:00","-0.291","-","0.16"
"2014/12/25","02:00","-0.914","-","-0.39"
"2014/12/25","03:00","-0.886","-","-0.44"
"2014/12/25","04:00","-0.236","-","0.21"
"2014/12/25","05:00","0.862","-","1.29"
"2014/12/25","06:00","2.142","-","2.43"
"2014/12/25","07:00","3.312","-","3.72"
"2014/12/25","08:00","4.138","-","4.61"
"2014/12/25","09:00","4.494","-","4.82"
"2014/12/25","10:00","4.379","-","4.76"
"2014/12/25","11:00","3.908","-","4.4"
"2014/12/25","12:00","3.276","-","3.66"
"2014/12/25","13:00","2.707","-","2.99"
"2014/12/25","14:00","2.401","-","2.68"
"2014/12/25","15:00","2.483","-","2.73"
"2014/12/25","16:00","2.96","-","3.26"
"2014/12/25","17:00","3.719","-","3.97"
"2014/12/25","18:00","4.552","-","4.77"
"2014/12/25","19:00","5.218","-","5.53"
"2014/12/25","20:00","5.503","-","5.85"
"2014/12/25","21:00","5.283","-","5.66"
"2014/12/25","22:00","4.547","-","4.95"
"2014/12/25","23:00","3.404","-","3.66"
"2014/12/26","00:00","2.062","-","2.33"
"2014/12/26","01:00","0.781","-","0.91"
"2014/12/26","02:00","-0.178","-","0.1"
"2014/12/26","03:00","-0.613","-","-0.37"
"2014/12/26","04:00","-0.439","-","-0.32"
"2014/12/26","05:00","0.292","-","0.42"
"2014/12/26","06:00","1.401","-","1.51"
"2014/12/26","07:00","2.631","-","2.86"
"2014/12/26","08:00","3.715","-","3.93"
"2014/12/26","09:00","4.443","-","4.68"
"2014/12/26","10:00","4.706","-","4.97"
"2014/12/26","11:00","4.513","-","4.72"
"2014/12/26","12:00","3.98","-","4.29"
"2014/12/26","13:00","3.298","-","3.49"
"2014/12/26","14:00","2.684","-","2.91"
"2014/12/26","15:00","2.324","-","2.5"
"2014/12/26","16:00","2.331","-","2.43"
"2014/12/26","17:00","2.706","-","2.84"
"2014/12/26","18:00","3.345","-","3.49"
"2014/12/26","19:00","4.061","-","4.2"
"2014/12/26","20:00","4.639","-","4.83"
"2014/12/26","21:00","4.892","-","5.08"
"2014/12/26","22:00","4.708","-","4.87"
"2014/12/26","23:00","4.077","-","4.24"
"2014/12/27","00:00","3.097","-","3.29"
"2014/12/27","01:00","1.956","-","2.2"
"2014/12/27","02:00","0.892","-","0.96"
"2014/12/27","03:00","0.135","-","0.24"
"2014/12/27","04:00","-0.141","-","-0.14"
"2014/12/27","05:00","0.128","-","0.15"
"2014/12/27","06:00","0.884","-","0.86"
"2014/12/27","07:00","1.958","-","1.95"
"2014/12/27","08:00","3.114","-","3.18"
"2014/12/27","09:00","4.11","-","4.21"
"2014/12/27","10:00","4.753","-","4.98"
"2014/12/27","11:00","4.94","-","5.17"
"2014/12/27","12:00","4.68","-","4.85"
"2014/12/27","13:00","4.085","-","4.34"
"2014/12/27","14:00","3.337","-","3.62"
"2014/12/27","15:00","2.643","-","2.83"
"2014/12/27","16:00","2.181","-","2.38"
"2014/12/27","17:00","2.059","-","2.17"
"2014/12/27","18:00","2.29","-","2.43"
"2014/12/27","19:00","2.79","-","2.93"
"2014/12/27","20:00","3.404","-","3.49"
"2014/12/27","21:00","3.943","-","4.05"
"2014/12/27","22:00","4.231","-","4.34"
"2014/12/27","23:00","4.157","-","4.31"
"2014/12/28","00:00","3.698","-","3.81"
"2014/12/28","01:00","2.931","-","3.05"
"2014/12/28","02:00","2.019","-","2.12"
"2014/12/28","03:00","1.171","-","1.18"
"2014/12/28","04:00","0.589","-","0.6"
"2014/12/28","05:00","0.425","-","0.39"
"2014/12/28","06:00","0.738","-","0.72"
"2014/12/28","07:00","1.476","-","1.34"
"2014/12/28","08:00","2.493","-","2.42"
"2014/12/28","09:00","3.576","-","3.63"
"2014/12/28","10:00","4.497","-","4.55"
"2014/12/28","11:00","5.07","-","5.14"
"2014/12/28","12:00","5.192","-","5.27"
"2014/12/28","13:00","4.867","-","5.01"
"2014/12/28","14:00","4.198","-","4.45"
"2014/12/28","15:00","3.36","-","3.58"
"2014/12/28","16:00","2.548","-","2.7"
"2014/12/28","17:00","1.942","-","2.12"
"2014/12/28","18:00","1.66","-","1.88"
"2014/12/28","19:00","1.736","-","1.95"
"2014/12/28","20:00","2.119","-","2.26"
"2014/12/28","21:00","2.677","-","2.76"
"2014/12/28","22:00","3.236","-","3.33"
"2014/12/28","23:00","3.622","-","3.76"
"2014/12/29","00:00","3.71","-","3.87"
"2014/12/29","01:00","3.458","-","3.6"
"2014/12/29","02:00","2.917","-","3.01"
"2014/12/29","03:00","2.224","-","2.33"
"2014/12/29","04:00","1.558","-","1.61"
"2014/12/29","05:00","1.102","-","1.13"
"2014/12/29","06:00","1.001","-","1.09"
"2014/12/29","07:00","1.318","-","1.4"
"2014/12/29","08:00","2.022","-","2.13"
"2014/12/29","09:00","2.985","-","3.12"
"2014/12/29","10:00","4.008","-","4.15"
"2014/12/29","11:00","4.87","-","5.03"
"2014/12/29","12:00","5.384","-","5.57"
"2014/12/29","13:00","5.442","-","5.64"
"2014/12/29","14:00","5.042","-","5.33"
"2014/12/29","15:00","4.279","-","4.51"
"2014/12/29","16:00","3.32","-","3.58"
"2014/12/29","17:00","2.363","-","2.67"
"2014/12/29","18:00","1.595","-","1.93"
"2014/12/29","19:00","1.156","-","1.53"
"2014/12/29","20:00","1.109","-","1.41"
"2014/12/29","21:00","1.427","-","1.67"
"2014/12/29","22:00","1.991","-","2.22"
"2014/12/29","23:00","2.628","-","2.87"
"2014/12/30","00:00","3.154","-","3.45"
"2014/12/30","01:00","3.425","-","3.83"
"2014/12/30","02:00","3.376","-","3.65"
"2014/12/30","03:00","3.036","-","3.3"
"2014/12/30","04:00","2.514","-","2.79"
"2014/12/30","05:00","1.973","-","2.22"
"2014/12/30","06:00","1.591","-","1.8"
"2014/12/30","07:00","1.513","-","1.7"
"2014/12/30","08:00","1.821","-","2.05"
"2014/12/30","09:00","2.497","-","2.76"
"2014/12/30","10:00","3.423","-","3.62"
"2014/12/30","11:00","4.405","-","4.66"
"2014/12/30","12:00","5.22","-","5.53"
"2014/12/30","13:00","5.675","-","5.93"
"2014/12/30","14:00","5.659","-","5.85"
"2014/12/30","15:00","5.163","-","5.38"
"2014/12/30","16:00","4.28","-","4.58"
"2014/12/30","17:00","3.178","-","3.48"
"2014/12/30","18:00","2.067","-","2.37"
"2014/12/30","19:00","1.153","-","1.46"
"2014/12/30","20:00","0.602","-","0.98"
"2014/12/30","21:00","0.496","-","0.82"
"2014/12/30","22:00","0.817","-","1.06"
"2014/12/30","23:00","1.449","-","1.8"
"2014/12/31","00:00","2.205","-","2.67"
"2014/12/31","01:00","2.884","-","3.23"
