"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2013/12/25","00:00","3.244","-","3.27"
"2013/12/25","01:00","2.835","-","2.84"
"2013/12/25","02:00","2.302","-","2.34"
"2013/12/25","03:00","1.771","-","1.82"
"2013/12/25","04:00","1.375","-","1.38"
"2013/12/25","05:00","1.224","-","1.17"
"2013/12/25","06:00","1.375","-","1.39"
"2013/12/25","07:00","1.819","-","1.8"
"2013/12/25","08:00","2.484","-","2.45"
"2013/12/25","09:00","3.248","-","3.21"
"2013/12/25","10:00","3.965","-","3.93"
"2013/12/25","11:00","4.496","-","4.49"
"2013/12/25","12:00","4.739","-","4.76"
"2013/12/25","13:00","4.655","-","4.73"
"2013/12/25","14:00","4.274","-","4.38"
"2013/12/25","15:00","3.693","-","3.74"
"2013/12/25","16:00","3.049","-","3.18"
"2013/12/25","17:00","2.482","-","2.59"
"2013/12/25","18:00","2.107","-","2.21"
"2013/12/25","19:00","1.982","-","2.08"
"2013/12/25","20:00","2.099","-","2.13"
"2013/12/25","21:00","2.389","-","2.43"
"2013/12/25","22:00","2.74","-","2.77"
"2013/12/25","23:00","3.029","-","3.01"
"2013/12/26","00:00","3.155","-","3.21"
"2013/12/26","01:00","3.068","-","3.07"
"2013/12/26","02:00","2.783","-","2.74"
"2013/12/26","03:00","2.376","-","2.33"
"2013/12/26","04:00","1.963","-","1.92"
"2013/12/26","05:00","1.669","-","1.59"
"2013/12/26","06:00","1.6","-","1.52"
"2013/12/26","07:00","1.813","-","1.82"
"2013/12/26","08:00","2.301","-","2.18"
"2013/12/26","09:00","2.993","-","2.99"
"2013/12/26","10:00","3.762","-","3.71"
"2013/12/26","11:00","4.453","-","4.5"
"2013/12/26","12:00","4.922","-","4.97"
"2013/12/26","13:00","5.062","-","5.17"
"2013/12/26","14:00","4.84","-","4.91"
"2013/12/26","15:00","4.298","-","4.38"
"2013/12/26","16:00","3.545","-","3.71"
"2013/12/26","17:00","2.734","-","2.93"
"2013/12/26","18:00","2.023","-","2.11"
"2013/12/26","19:00","1.546","-","1.67"
"2013/12/26","20:00","1.375","-","1.53"
"2013/12/26","21:00","1.51","-","1.78"
"2013/12/26","22:00","1.874","-","2.05"
"2013/12/26","23:00","2.339","-","2.5"
"2013/12/27","00:00","2.761","-","2.84"
"2013/12/27","01:00","3.022","-","3.1"
"2013/12/27","02:00","3.059","-","3.25"
"2013/12/27","03:00","2.88","-","2.97"
"2013/12/27","04:00","2.557","-","2.59"
"2013/12/27","05:00","2.207","-","2.23"
"2013/12/27","06:00","1.962","-","2.01"
"2013/12/27","07:00","1.937","-","1.96"
"2013/12/27","08:00","2.196","-","2.17"
"2013/12/27","09:00","2.736","-","2.78"
"2013/12/27","10:00","3.476","-","3.42"
"2013/12/27","11:00","4.275","-","4.18"
"2013/12/27","12:00","4.958","-","5"
"2013/12/27","13:00","5.366","-","5.45"
"2013/12/27","14:00","5.39","-","5.53"
"2013/12/27","15:00","5.001","-","5.09"
"2013/12/27","16:00","4.256","-","4.36"
"2013/12/27","17:00","3.289","-","3.47"
"2013/12/27","18:00","2.28","-","2.47"
"2013/12/27","19:00","1.42","-","1.58"
"2013/12/27","20:00","0.866","-","1.06"
"2013/12/27","21:00","0.702","-","0.96"
"2013/12/27","22:00","0.92","-","1.04"
"2013/12/27","23:00","1.425","-","1.58"
"2013/12/28","00:00","2.059","-","2.19"
"2013/12/28","01:00","2.648","-","2.79"
