"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2003/12/25","00:00","-0.744","-","-0.55"
"2003/12/25","01:00","-1.581","-","-1.22"
"2003/12/25","02:00","-1.706","-","-1.45"
"2003/12/25","03:00","-1.139","-","-0.94"
"2003/12/25","04:00","-0.05","-","0.19"
"2003/12/25","05:00","1.286","-","1.51"
"2003/12/25","06:00","2.565","-","2.76"
"2003/12/25","07:00","3.533","-","3.88"
"2003/12/25","08:00","4.049","-","4.56"
"2003/12/25","09:00","4.108","-","4.63"
"2003/12/25","10:00","3.821","-","4.16"
"2003/12/25","11:00","3.379","-","3.92"
"2003/12/25","12:00","3.002","-","3.57"
"2003/12/25","13:00","2.883","-","3.25"
"2003/12/25","14:00","3.141","-","3.63"
"2003/12/25","15:00","3.777","-","4.17"
"2003/12/25","16:00","4.669","-","5.1"
"2003/12/25","17:00","5.594","-","6.1"
"2003/12/25","18:00","6.287","-","6.89"
"2003/12/25","19:00","6.516","-","7.02"
"2003/12/25","20:00","6.15","-","6.47"
"2003/12/25","21:00","5.185","-","5.46"
"2003/12/25","22:00","3.756","-","4.11"
"2003/12/25","23:00","2.097","-","2.45"
"2003/12/26","00:00","0.502","-","0.78"
"2003/12/26","01:00","-0.742","-","-0.62"
"2003/12/26","02:00","-1.409","-","-1.13"
"2003/12/26","03:00","-1.396","-","-1.27"
"2003/12/26","04:00","-0.748","-","-0.68"
"2003/12/26","05:00","0.355","-","0.49"
"2003/12/26","06:00","1.642","-","1.84"
"2003/12/26","07:00","2.834","-","3.19"
"2003/12/26","08:00","3.706","-","3.91"
"2003/12/26","09:00","4.144","-","4.37"
"2003/12/26","10:00","4.152","-","4.43"
"2003/12/26","11:00","3.842","-","4.21"
"2003/12/26","12:00","3.398","-","3.54"
"2003/12/26","13:00","3.027","-","3.2"
"2003/12/26","14:00","2.905","-","3.05"
"2003/12/26","15:00","3.133","-","3.19"
"2003/12/26","16:00","3.701","-","3.71"
"2003/12/26","17:00","4.483","-","4.52"
"2003/12/26","18:00","5.273","-","5.31"
"2003/12/26","19:00","5.834","-","5.9"
"2003/12/26","20:00","5.97","-","6.01"
"2003/12/26","21:00","5.574","-","5.45"
"2003/12/26","22:00","4.657","-","4.49"
"2003/12/26","23:00","3.346","-","3.2"
"2003/12/27","00:00","1.862","-","1.73"
"2003/12/27","01:00","0.473","-","0.27"
"2003/12/27","02:00","-0.56","-","-0.82"
"2003/12/27","03:00","-1.048","-","-1.32"
"2003/12/27","04:00","-0.916","-","-1.19"
"2003/12/27","05:00","-0.225","-","-0.41"
"2003/12/27","06:00","0.845","-","0.68"
"2003/12/27","07:00","2.048","-","1.88"
"2003/12/27","08:00","3.132","-","3"
"2003/12/27","09:00","3.902","-","3.78"
"2003/12/27","10:00","4.262","-","4.13"
"2003/12/27","11:00","4.221","-","4.1"
"2003/12/27","12:00","3.887","-","3.78"
"2003/12/27","13:00","3.431","-","3.23"
"2003/12/27","14:00","3.043","-","2.79"
"2003/12/27","15:00","2.885","-","2.6"
"2003/12/27","16:00","3.04","-","2.69"
"2003/12/27","17:00","3.492","-","3.17"
"2003/12/27","18:00","4.128","-","3.86"
"2003/12/27","19:00","4.768","-","4.38"
"2003/12/27","20:00","5.214","-","4.84"
"2003/12/27","21:00","5.298","-","4.9"
"2003/12/27","22:00","4.931","-","4.41"
"2003/12/27","23:00","4.124","-","3.67"
"2003/12/28","00:00","2.992","-","2.58"
"2003/12/28","01:00","1.733","-","1.3"
"2003/12/28","02:00","0.585","-","0.13"
"2003/12/28","03:00","-0.227","-","-0.66"
"2003/12/28","04:00","-0.546","-","-0.93"
"2003/12/28","05:00","-0.323","-","-0.8"
"2003/12/28","06:00","0.376","-","-0.05"
"2003/12/28","07:00","1.387","-","1.05"
"2003/12/28","08:00","2.489","-","2.16"
"2003/12/28","09:00","3.463","-","3.19"
"2003/12/28","10:00","4.134","-","3.83"
"2003/12/28","11:00","4.417","-","4.09"
"2003/12/28","12:00","4.323","-","4.03"
"2003/12/28","13:00","3.951","-","3.63"
"2003/12/28","14:00","3.462","-","3.12"
"2003/12/28","15:00","3.03","-","2.71"
"2003/12/28","16:00","2.796","-","2.54"
"2003/12/28","17:00","2.836","-","2.58"
"2003/12/28","18:00","3.142","-","2.88"
"2003/12/28","19:00","3.623","-","3.38"
"2003/12/28","20:00","4.131","-","3.8"
"2003/12/28","21:00","4.501","-","4.15"
"2003/12/28","22:00","4.585","-","4.21"
"2003/12/28","23:00","4.3","-","3.93"
"2003/12/29","00:00","3.652","-","3.28"
"2003/12/29","01:00","2.736","-","2.47"
"2003/12/29","02:00","1.726","-","1.5"
"2003/12/29","03:00","0.825","-","0.67"
"2003/12/29","04:00","0.223","-","-0.04"
"2003/12/29","05:00","0.046","-","-0.2"
"2003/12/29","06:00","0.33","-","0.21"
"2003/12/29","07:00","1.016","-","0.92"
"2003/12/29","08:00","1.957","-","1.93"
"2003/12/29","09:00","2.961","-","2.97"
"2003/12/29","10:00","3.829","-","3.84"
"2003/12/29","11:00","4.402","-","4.46"
"2003/12/29","12:00","4.602","-","4.74"
"2003/12/29","13:00","4.438","-","4.58"
"2003/12/29","14:00","4.007","-","4.08"
"2003/12/29","15:00","3.455","-","3.68"
"2003/12/29","16:00","2.941","-","3.26"
